,Unnamed: 0,user,date,text,location,coordinates
57,57,ONeillWing,Wed Jul 24 21:19:30 +0000 2019,@RepRashida @AmericanAir @united @Delta @unitehere Not to mention United Airlines stealing pensions of workers duri… https://t.co/RWQ5oXcHwl,"Upperville, VA",
58,58,MConsulted,Wed Jul 24 21:18:47 +0000 2019,"A 60,000 mile welcome bonus, a waived 1st year annual fee, AND a one-time 50% companion discount on a trip to Hawai… https://t.co/3ODr4KS3pp",,
59,59,Sadaf1394,Wed Jul 24 21:17:35 +0000 2019,"RT @iran_policy: The United States on Tuesday warned companies against dealing with Iranian airlines, alleging that many of them support #I…",,
60,60,PlanetsPlanes,Wed Jul 24 21:17:06 +0000 2019,United Airlines Flies 787 Dreamliner With All-female Crew to World’s Largest Airshow https://t.co/zcyhsOGNRq #avgeeks #avgeek #airline,UK,
61,61,thegrieflady,Wed Jul 24 21:15:25 +0000 2019,"@united airlines, you win. I give up. I’ve been trying since 7/2 to tell you how badly your ticket agents at EWR mi… https://t.co/VExrSohnbi",USA,
62,62,SoulSymphonique,Wed Jul 24 21:14:59 +0000 2019,RT @WorldALNews: United Airlines Flies 787 Dreamliner With All-female Crew to World’s Largest Airshow https://t.co/yepfvYjKRE https://t.co/…,"Mayagüez, Puerto Rico",
63,63,lovemissmarple,Wed Jul 24 21:13:22 +0000 2019,"RT @peta: VICTORY! 🎉

@united Airlines has stopped selling #SeaWorld tickets &amp; removed all mentions of the park from its #UnitedVacations w…",動画：Marple Translation,
64,64,Wiwipanv,Wed Jul 24 21:13:19 +0000 2019,"RT @peta: VICTORY! 🎉

@united Airlines has stopped selling #SeaWorld tickets &amp; removed all mentions of the park from its #UnitedVacations w…","Puerto Rico, USA",
65,65,WorldALNews,Wed Jul 24 21:11:58 +0000 2019,United Airlines Flies 787 Dreamliner With All-female Crew to World’s Largest Airshow https://t.co/yepfvYjKRE https://t.co/M9aGlFQo7Z,"Florida, USA",
66,66,FeyWilliam,Wed Jul 24 21:09:31 +0000 2019,"@infiniteflight @EAA United Airlines 787, cause that is the 747-8F UPS in front.",Malaysia,
