,user,date,text,location,coordinates
0,rabrowne75,Fri Jun 21 02:03:25 +0000 2019,"United Airlines: “Given current events in Iran, United has conducted a thorough safety and security review of our I… https://t.co/yrrPHHathL",,
1,cnnbrk,Fri Jun 21 12:54:31 +0000 2019,United Airlines has suspended one of its flights and other airlines are re-routing planes to avoid the Gulf of Oman… https://t.co/JIl5YMCbGI,Everywhere,
2,tariqnasheed,Mon Jun 24 21:12:55 +0000 2019,"More anti-Black racism coming from airlines... 
United pilot from SFO claims airline discriminated on basis of race… https://t.co/ZbqI4MUh6g",Los Angeles,
3,IiIwh0r,Mon Jun 24 23:59:39 +0000 2019,"RT @VitoGesualdi: In 2017, Google asked 1,000 teenagers to rank popular brands by how ""cool"" they were.

Vice was ranked second to last, lo…",,
4,Yenmor,Mon Jun 24 23:59:26 +0000 2019,@RBMEllis Airlines suck.  I think it will be found.  Make sure they are actually looking and using the right codes… https://t.co/AWcSAzLRfY,California ,
5,edwinmogi,Mon Jun 24 23:57:24 +0000 2019,"RT @xgohub: Preferred Airline for Personal Travel by U.S Adults

21% : Southwest Airlines
14% : Delta Air Lines
11% : American Airlines

8%…",,
6,potsherds,Mon Jun 24 23:52:37 +0000 2019,"RT @unitehere: BREAKING: 11,000 US Airline Catering Workers Authorize Strike at Airports Nationwide
Workers who cater flights for @American…",Radical Democrat.  She/Her.,
7,onlyCASHcounts,Mon Jun 24 23:52:15 +0000 2019,"RT @tariqnasheed: More anti-Black racism coming from airlines... 
United pilot from SFO claims airline discriminated on basis of race https…",Making Moves,
8,_iiimm,Mon Jun 24 23:50:31 +0000 2019,"RT @VitoGesualdi: In 2017, Google asked 1,000 teenagers to rank popular brands by how ""cool"" they were.

Vice was ranked second to last, lo…",,
9,FonHom,Mon Jun 24 23:50:05 +0000 2019,@stephenkurily @drgitlin @Delta @united Which was the idiot ass moron? Or are you talking about both airlines?,DC ,
10,Silentmorning90,Mon Jun 24 23:49:48 +0000 2019,"RT @unitehere: BREAKING: 11,000 US Airline Catering Workers Authorize Strike at Airports Nationwide
Workers who cater flights for @American…",,
11,daveunger3,Mon Jun 24 23:49:40 +0000 2019,"RT @unitehere: BREAKING: 11,000 US Airline Catering Workers Authorize Strike at Airports Nationwide
Workers who cater flights for @American…","Kelowna, B.C.",
12,Deedee99342356,Mon Jun 24 23:48:02 +0000 2019,I need to make this go viral until the United Airlines compensate me for removing my 7 year old grandchild from a p… https://t.co/6uleiliMZy,,
13,thisweektravel,Mon Jun 24 23:45:38 +0000 2019,United Airlines Suspends All India Service Until September 1st https://t.co/qkJdHox39o,,
14,producegreen,Mon Jun 24 23:45:10 +0000 2019,"Something to consider when planning #air #travel for your next #greenproduction:   ✈️✈️✈️ 
United Airlines becomes… https://t.co/uS4Ch74nMu",,
