,user,date,text,location,coordinates
0,USATODAY,Mon Jun 17 20:32:00 +0000 2019,A United Airlines pilot stepped up to help a stranded college student by paying for her flight back to school after… https://t.co/MpRum5nlHd,"USA TODAY HQ, McLean, Va.",
1,nbcwashington,Tue Jun 18 02:55:02 +0000 2019,"Travelers saw — and felt — large numbers of ants crawling on them, their seats, the windows and even in the luggage… https://t.co/smGKsHQsGR","Washington, D.C.",
2,embraer,Mon Jun 17 12:30:50 +0000 2019,#NEWS | @Embraer and @United sign contract for up to 39 #E175 at the @salondubourget. Learn more:… https://t.co/42McZX2ewW,"São Paulo, Brasil",
3,trutherbothazel,Tue Jun 18 23:59:54 +0000 2019,"Radio is all crap
United Airlines 787 flight UA4 https://t.co/MOBPf6t7J5",Great Lakes,
4,NumbNut23,Tue Jun 18 23:57:52 +0000 2019,@BenjiBacker Fricking screw United Airlines- my flight was delayed 16 hours overnight and was forced to sleep at the airport,"Katy, TX",
5,12musts,Tue Jun 18 23:56:35 +0000 2019,Ant infestation on United Airlines flight https://t.co/rcqWg6BaYl https://t.co/8FiM25hodD,"Brooklyn, NY / Toronto, ON",
6,sabotagebeats,Tue Jun 18 23:51:48 +0000 2019,@crypto_monopoly @SouthwestAir @AmericanAir @Delta @USAirways @united @Airlines I missed two flights because of this over the last week,"Bend, OR",
7,crypto_monopoly,Tue Jun 18 23:50:58 +0000 2019,@sabotagebeats This is a serious issue. Almost missed a flight cause of this. Make your mobile app alert is flight… https://t.co/bDO2mfxx3H,,
8,ipandey,Tue Jun 18 23:49:29 +0000 2019,"RT @khabri_lal: United Airlines and Vistara Establish Codeshare Agreement

Agreement enables United customers to travel seamlessly to more…",दिल्ली सल्तनत,
9,MichaelSonsino,Tue Jun 18 23:49:21 +0000 2019,"RT @AlanPGross: hey @realDonaldTrump, whatever happened to Trump Airlines, Trump Water, Trump University, Trump Steaks, Trump Vodka, The Tr…","Philadelphia, Pennsylvania",
10,sightbeyonds,Tue Jun 18 23:45:29 +0000 2019,"RT @Sen_SouConVo: ""Rep. Sheila Jackson Lee, who was accused by a United Airlines passenger of bumping her from a first-class seat, said in…",,
11,BruhnRose,Tue Jun 18 23:45:14 +0000 2019,RT @7NewsSydney: Australian model @Adau_M could face up to 21 years jail after she was accused of slapping a United Airlines flight attenda…,,
12,ALPApilotCarlos,Tue Jun 18 23:45:06 +0000 2019,RT @UnitedPilots: A United pilot paid for a stranded college student's flight: 'There are no words' https://t.co/V0oGuLJXkL via @usatoday,"Marietta, GA",
13,Kath2252,Tue Jun 18 23:44:16 +0000 2019,"RT @TrellfromBmore: Like they always say, not all heroes wear capes 

A United pilot paid for a stranded college student's flight: 'There a…","Btw Sing Sing & West Point, NY",
14,AlanPGross,Tue Jun 18 23:43:41 +0000 2019,"hey @realDonaldTrump, whatever happened to Trump Airlines, Trump Water, Trump University, Trump Steaks, Trump Vodka… https://t.co/oZBo3NhI32","Washington, DC & Tel Aviv",
15,504_Slimm,Tue Jun 18 23:43:12 +0000 2019,"RT @Sen_SouConVo: ""Rep. Sheila Jackson Lee, who was accused by a United Airlines passenger of bumping her from a first-class seat, said in…","Houston, TX; New Orleans, LA",
16,benvaan,Tue Jun 18 23:41:34 +0000 2019,United Airlines is just Spirit with an overdeveloped sense of ego,"Petaluma, CA",
17,ErrXbd4ZBmmjVUF,Tue Jun 18 23:41:29 +0000 2019,"RT @ir973: 1-she post a fake news says Saudi and United Emirates are the reason of what happened in Sudan.
2-she post a picture with captai…",Spain,
18,MaggieBeeBach,Tue Jun 18 23:39:26 +0000 2019,"RT @TrellfromBmore: Like they always say, not all heroes wear capes 

A United pilot paid for a stranded college student's flight: 'There a…","Connecticut, New England, USA",
19,spideystommo,Tue Jun 18 23:33:59 +0000 2019,@RUESPETER we ✈️ united airlines i guess,,
20,nywaterproject,Tue Jun 18 23:33:58 +0000 2019,"Biofuel, beeswax wraps and recyclable coffee cups: United debuts 'eco-friendly flight'

https://t.co/nqHllln6a1","Hoosick Falls, NY",
21,Nofearnofavors4,Tue Jun 18 23:33:20 +0000 2019,"RT @TrellfromBmore: Like they always say, not all heroes wear capes 

A United pilot paid for a stranded college student's flight: 'There a…","Louisville, KY, USA",
22,Strickland4all,Tue Jun 18 23:33:18 +0000 2019,"RT @TrellfromBmore: Like they always say, not all heroes wear capes 

A United pilot paid for a stranded college student's flight: 'There a…",Just a primate on planet earth,
23,AB_VERDE,Tue Jun 18 23:33:01 +0000 2019,"@united Hi united airlines, wanna WiFi?","North Carolina, USA",
24,monicam78404741,Tue Jun 18 23:31:48 +0000 2019,RT @7NewsMelbourne: Australian model @Adau_M could face up to 21 years jail after she was accused of slapping a United Airlines flight atte…,Melbourne Australia 🇦🇺 🇺🇾,
25,johnsondavid601,Tue Jun 18 23:31:46 +0000 2019,"RT @TrellfromBmore: Like they always say, not all heroes wear capes 

A United pilot paid for a stranded college student's flight: 'There a…",Somewhere In Delaware Valley,
26,hotcandidates,Tue Jun 18 23:31:15 +0000 2019,"Dr. Samuel V Alexander, Customer Service Manager. United Airlines, O'Hare, Chicago, Illinois 60666 #C ..https://t.co/K8zaGta2B4",,
27,TrellfromBmore,Tue Jun 18 23:31:15 +0000 2019,"Like they always say, not all heroes wear capes 

A United pilot paid for a stranded college student's flight: 'The… https://t.co/6Zm8XuN5bI",,
28,Elljay1011,Tue Jun 18 23:30:20 +0000 2019,RT @7NewsAustralia: Australian model @Adau_M could face up to 21 years jail after she was accused of slapping a United Airlines flight atte…,"Perth, Western Australia",
29,yahoolifestyle,Tue Jun 18 23:30:14 +0000 2019,Passenger claims United Airlines flight was infested with ants https://t.co/3kcNFCpmez https://t.co/64dhGEuC5n,New York City,
30,StantonNoble,Tue Jun 18 23:25:51 +0000 2019,RT @7NewsAustralia: Australian model @Adau_M could face up to 21 years jail after she was accused of slapping a United Airlines flight atte…,"Sydney, New South Wales",
31,soosoomoon14,Tue Jun 18 23:25:05 +0000 2019,"RT @Dde77: @pamelammars @enews 1-she post a fake news says Saudi and United Emirates are the reason of what happened in Sudan.
2-she post a…",,
32,mvollmer1,Tue Jun 18 23:24:07 +0000 2019,One thing we can all learn from @pepsi and @united: The customer is still king #CustomerExperience #CX… https://t.co/dFjwLpHG4I,"Frankfurt on the Main, Germany",
33,ZeeOneNZ,Tue Jun 18 23:23:46 +0000 2019,RT @7NewsAustralia: Australian model @Adau_M could face up to 21 years jail after she was accused of slapping a United Airlines flight atte…,New Zealand,
34,MilesForPlaces,Tue Jun 18 23:23:38 +0000 2019,"RT @timjue: United Airlines Polaris Lounge at San Francisco Airport named world's best business class lounge by Skytrax, which held its ann…",,
35,7NewsPerth,Tue Jun 18 23:22:54 +0000 2019,Australian model @Adau_M could face up to 21 years jail after she was accused of slapping a United Airlines flight… https://t.co/5gOShTGqUb,"Perth, Western Australia",
36,7NewsMelbourne,Tue Jun 18 23:22:46 +0000 2019,Australian model @Adau_M could face up to 21 years jail after she was accused of slapping a United Airlines flight… https://t.co/TVxdFt7DZJ,"Melbourne, Victoria",
37,7NewsBrisbane,Tue Jun 18 23:22:39 +0000 2019,Australian model @Adau_M could face up to 21 years jail after she was accused of slapping a United Airlines flight… https://t.co/tz2q9mQNkR,"Queensland, Australia",
38,7NewsAustralia,Tue Jun 18 23:22:36 +0000 2019,Australian model @Adau_M could face up to 21 years jail after she was accused of slapping a United Airlines flight… https://t.co/MWaBuadYR3,Australia,
39,1718106J,Tue Jun 18 23:22:17 +0000 2019,"RT @helenfromsun: ""I suspect the lemony cloth hasn't quite been our Excalibur.""

Is this gal English, by any chance?  Ha ha!

https://t.co/…",EVERY BLADE OF GRASS,
40,7NewsAdelaide,Tue Jun 18 23:22:09 +0000 2019,Australian model @Adau_M could face up to 21 years jail after she was accused of slapping a United Airlines flight… https://t.co/5Q1HxltUW8,"Adelaide, South Australia",
41,7NewsSydney,Tue Jun 18 23:22:03 +0000 2019,Australian model @Adau_M could face up to 21 years jail after she was accused of slapping a United Airlines flight… https://t.co/kZ6tJ4x4Vx,Sydney,
42,helenfromsun,Tue Jun 18 23:19:28 +0000 2019,"""I suspect the lemony cloth hasn't quite been our Excalibur.""

Is this gal English, by any chance?  Ha ha!

https://t.co/ibbb4Oo3pJ",,
43,S_Dantoni,Tue Jun 18 23:19:05 +0000 2019,RT @UnitedPilots: A United pilot paid for a stranded college student's flight: 'There are no words' https://t.co/V0oGuLJXkL via @usatoday,,
44,PosiblMedia,Tue Jun 18 23:10:00 +0000 2019,United Airlines just flew the most eco-friendly commercial flight ✈ https://t.co/qZP6P9Ado0,,
45,RockCheetah,Tue Jun 18 23:08:36 +0000 2019,United Airlines and Vistara Establish Codeshare Agreement https://t.co/Pemg8m2oc0 #news,"Irving, TX",
46,soskin_luba,Tue Jun 18 23:05:19 +0000 2019,@united But you will never do that because you would rather rip off a customer and charge a 10K fee - the sad fact… https://t.co/6uXWWCuCGU,NYC,
47,TayJeeezy,Tue Jun 18 23:04:15 +0000 2019,United Airlines just delayed my flight home by two hours and I’m officially never flying United again Im so pissed,w/ ling ling (Allie),
48,LuceyRocio,Tue Jun 18 23:00:56 +0000 2019,"Sexual assaults on airplanes have risen dramatically. Meanwhile, flight crews are ill-prepared to handle these situ… https://t.co/Wf1QUr1agC",,
49,blatz_mary,Tue Jun 18 23:00:08 +0000 2019,Honestly never flying @united airlines again after my experience this past week.,,
50,blatz_mary,Tue Jun 18 22:56:40 +0000 2019,Stuck on the runway with no air.. it’s 84 degrees on this plane.. @united airlines.. YOU SUCK..,,
51,chaviation,Tue Jun 18 22:56:05 +0000 2019,"China Eastern to reposition China United as an int'l LCC: China Eastern Airlines (MU, Shanghai Hongqiao) is plannin… https://t.co/u1RAMJie5w",,
52,JetSkiGirlRN,Tue Jun 18 22:55:40 +0000 2019,@Bitch_NextDoor1 Completely understandable! Been there myself. Had to rent a car &amp; drive from Chicago to Toledo at… https://t.co/561AwZjzOq,,
53,Dde77,Tue Jun 18 22:38:46 +0000 2019,"@MimiHers 1-she post a fake news says Saudi and United Emirates are the reason of what happened in Sudan.
2-she pos… https://t.co/wATtekFRxU",Riyadh,
54,JoshBaer85,Tue Jun 18 22:36:50 +0000 2019,"@united Homosexual Airlines is apparently your new name. Just do your business and stop trying to be all ""woke"".","Minnesota, USA",
