,user,date,text,location,coordinates
0,USATODAY,Mon Jun 17 20:32:00 +0000 2019,A United Airlines pilot stepped up to help a stranded college student by paying for her flight back to school after… https://t.co/MpRum5nlHd,"USA TODAY HQ, McLean, Va.",
1,embraer,Mon Jun 17 12:30:50 +0000 2019,#NEWS | @Embraer and @United sign contract for up to 39 #E175 at the @salondubourget. Learn more:… https://t.co/42McZX2ewW,"São Paulo, Brasil",
2,BenjaminThiccc,Mon Jun 17 23:54:15 +0000 2019,"RT @BenjiBacker: When I’m president, I will ban the following:
-ticks
-mosquitoes
-pennies
-crocs
-cargo shorts
-Kia Souls
-United Airlines…","Fairdale, KY",
3,e_RadioUS,Mon Jun 17 23:52:45 +0000 2019,Passenger claims United Airlines flight was infested with ants https://t.co/4tXNrGUJQl https://t.co/QCrVV5oqW5,United States,
4,e_RadioUS,Mon Jun 17 23:52:45 +0000 2019,Passenger claims United Airlines flight was infested with ants https://t.co/yVRefqLtQf https://t.co/x8R14ftJYe,United States,
5,e_RadioUS,Mon Jun 17 23:52:45 +0000 2019,Passenger claims United Airlines flight was infested with ants https://t.co/kv7qelLZQv https://t.co/OtiBe5aDVo,United States,
6,e_RadioUS,Mon Jun 17 23:52:45 +0000 2019,Passenger claims United Airlines flight was infested with ants https://t.co/Uuf0uHTkGc https://t.co/kieDGN07Kq,United States,
7,e_RadioUS,Mon Jun 17 23:52:44 +0000 2019,Passenger claims United Airlines flight was infested with ants https://t.co/9FWwydyHKs https://t.co/blMmPGixmO,United States,
8,EmfiSecurities,Mon Jun 17 23:50:05 +0000 2019,"Embraer signs contract with United Airlines to sell jets for US $ 1.9 billion - Free TV Tuesday
https://t.co/edVNujwj6M","London, England",
9,kikunews,Mon Jun 17 23:49:51 +0000 2019,United Airlines plane is taken out of service after passengers complain of ant infestation https://t.co/DZMU28MVNu https://t.co/OpcTkd3oDD,,
10,benkiker,Mon Jun 17 23:48:39 +0000 2019,@Kellblog @united I avoid @flySFO at all costs for short haul flights unless it’s very first flight of the day — an… https://t.co/DooTVzgOGR,"ÜT: 37.435304,-122.156722",
11,9967700d3d9c465,Mon Jun 17 23:48:28 +0000 2019,A United pilot paid for a stranded college student's flight: 'There are no words' https://t.co/fcw4P6K97s via @usatoday,,
