,user,date,text,location,coordinates
0,smitaprakash,Sat Aug 10 08:10:19 +0000 2019,"Yeah sure! 😀 I am sure that is a valid boarding pass of United Airlines. Banega Khalistan, tumhare mulk me se. Jais… https://t.co/0NIdkmaOKb","New Delhi, India",
1,MailOnline,Sun Aug 11 08:11:44 +0000 2019,Malaysian man charged after 'hiding a camera in a first-class bathroom' on a United Airlines flight which was disco… https://t.co/5zPu0SBysb,,
2,tathagata2,Sun Aug 11 08:52:34 +0000 2019,"Rono Dutta,Shillong boy and graduate of St Edmund’s school,Shillong,went up to become the President of United Airli… https://t.co/m2r9pjgXBK","Shillong, India",
3,laura__lavery,Sun Aug 11 23:51:05 +0000 2019,"RT @NoNewZoo1: No. of holiday companies⛱airlines ✈️ who have stopped selling SeaWorld Orlando trips is growing 👍
British Airways, Virgin Ho…",,
4,MightyTravels,Sun Aug 11 23:45:07 +0000 2019,United Airlines: Honolulu (HNL) to Boston (BOS) just US$ 2026 First Round Trip incl all taxes and fees https://t.co/T51sZgbsQB,"Albuquerque, NM",
5,kryptoluthor,Sun Aug 11 23:39:55 +0000 2019,She gets a commission from United Airlines every time she says the word. I’m convinced. https://t.co/IfWrV4C7RB,she. 22. us.,
6,ScottGr54240661,Sun Aug 11 23:38:37 +0000 2019,"@UnitedAir_Sux @united I have been on 3 United Airlines flights in the last 4 days, thus far, all of them have take… https://t.co/dTHNECCMjK",,
7,ScottGr54240661,Sun Aug 11 23:31:46 +0000 2019,"@Warren_B_Hardin @united Given the way today is going, it seems that United Airlines is set to “permanent suck” @united #doyourplanesEVERfly",,
8,COFlyerCLE,Sun Aug 11 23:30:52 +0000 2019,"Onward overnight: 
Boarding@EWR: UA0960 EWR (07:40 pm LT) - FRA (09:10 am LT) United Airlines: Newark - Frankfurt… https://t.co/ctNZ2bu8qJ","iPhone: 32.893169,-97.037285",
9,gmlavern,Sun Aug 11 23:24:16 +0000 2019,"RT @WAFB: Delta Air Lines could face pressure to change two of its rules: A ban on pit bulls in the cabin, and a ban against emotional supp…","Louisiana, USA",
