,user,date,text,location,coordinates
0,AirlineGeeks,Sat Jul 20 17:10:04 +0000 2019,"On July 19, 1989, the crew of United Airlines flight 232 from Denver to Chicago was faced with the impossible task… https://t.co/JDHzNQtJ1j","Washington, DC & Global",
1,smino,Sun Jul 14 13:37:22 +0000 2019,United airlines da new Spirit .,314,
2,AviationSafety,Fri Jul 19 12:21:00 +0000 2019,"30 Years ago today United Airlines flight 232, a DC-10-10 crashed during an emergency landing at Sioux Gateway Airp… https://t.co/xhEKyfD1DF",,
3,lmfaoariii,Sat Jul 20 23:58:26 +0000 2019,fuck united airlines.,zona,
4,Sour_Licorice,Sat Jul 20 23:57:25 +0000 2019,"RT @andreanaclay: Do better @united, and all airlines, @AmericanAir, @Delta, @SouthwestAir...not all of us are vacationing: we are taking c…","Riverdale, Bronx",
5,simtek34,Sat Jul 20 23:55:11 +0000 2019,"RT @NolanDomas: @united Well Peter died in infinity war

I always knew hell was a United Airlines Flight","Woodbury, MN",
6,MbSmith2018,Sat Jul 20 23:50:06 +0000 2019,American and United Airlines CEOs Just Met With President Trump at the White House. Here's Why They Were 'Shocked'… https://t.co/mNdK5bDo2q,Pacific North West,
7,mane_mbsmith,Sat Jul 20 23:49:58 +0000 2019,American and United Airlines CEOs Just Met With President Trump at the White House. Here's Why They Were 'Shocked'… https://t.co/TC7atWIZEO,"Portland, OR, PDX",
8,MarilynOliva,Sat Jul 20 23:49:36 +0000 2019,American and United Airlines CEOs Just Met With President Trump. What Happened Next 'Shocked' Them https://t.co/jspvfRJCYE,Global,
9,e4okogun,Sat Jul 20 23:47:26 +0000 2019,Tammera Holmes Dreams coming true once again!@AeroStar @United Airlines @ Tuskegee Red Tails https://t.co/j7SZvlwO1R,Illinois,
10,maitaiti,Sat Jul 20 23:46:23 +0000 2019,"Business Insider: A hidden United benefit will extend your trip for next to nothing.
https://t.co/9BWVXubuSd

via @GoogleNews","New York, NY",
11,helgaleena,Sat Jul 20 23:43:38 +0000 2019,@united your aircrews deserve to be trained on how to deal with #sexualassault and #sexualharassment! Please step u… https://t.co/dKiu5NzyUp,Hutt space,
12,rangudoc5,Sat Jul 20 23:37:13 +0000 2019,"@united Does not care , stuck on United airlines flight 614, no help with connecting flights , can United airlines help ?","Texas, USA",
13,FailsUnited,Sat Jul 20 23:27:09 +0000 2019,"RT @Peter_Chisholm: @ABC Don’t trust United Airlines with your kids or with your guitars  🧒 🎸:
https://t.co/jekcMKD4ZB",,
14,AnitaStidham1,Sat Jul 20 23:24:27 +0000 2019,@united FA  won’t bring us water in FC after we got delayed by another United airlines not unloading our bags upon… https://t.co/CqTTicV0Y1,,
15,Porn_Harms,Sat Jul 20 23:23:15 +0000 2019,"RT @ncose: #12DaysofAction starts now! @United, you’re first on the list this year. We want to know why you STILL haven’t improved your tra…",USA,
16,andreanaclay,Sat Jul 20 23:21:45 +0000 2019,"Do better @united, and all airlines, @AmericanAir, @Delta, @SouthwestAir...not all of us are vacationing: we are ta… https://t.co/Miaocyy46E","Oakland, CA",
17,rangudoc5,Sat Jul 20 23:21:39 +0000 2019,Can United airlines rebook my flight to Zurich for later time today ?,"Texas, USA",
18,Amanda13596421,Sat Jul 20 23:16:28 +0000 2019,Created this account today because I wanted to say that United Airlines is a bit much today. I’m sure other airline… https://t.co/7SHZKGraJF,,
19,rangudoc5,Sat Jul 20 23:15:30 +0000 2019,"United airlines #614- delayed , now trying to refuel ?? , can any one from United airlines help with my connecting… https://t.co/k1vliIQnID","Texas, USA",
20,andreanaclay,Sat Jul 20 23:10:14 +0000 2019,I cannot with these airlines: first my @united flight from DEN to SGF was delayed three hours because a pilot timed… https://t.co/5WqkrpZDl7,"Oakland, CA",
21,SmallBizExpo,Sat Jul 20 23:09:25 +0000 2019,American and United Airlines CEOs Just Met With President Trump. What Happened Next 'Shocked' Them… https://t.co/7Ha8wEBavt,"Laguna Niguel, CA",
22,GiovannyLeon,Sat Jul 20 23:06:08 +0000 2019,American and United Airlines CEOs Just Met With President Trump. What Happened Next 'Shocked' Them… https://t.co/LB9IE46P9I,"Basilea, Suiza",
23,aVirtualTeam,Sat Jul 20 23:06:07 +0000 2019,American and United Airlines CEOs Just Met With President Trump. What Happened Next 'Shocked' Them https://t.co/eJAEP6K8aV,USA,
24,rangudoc5,Sat Jul 20 23:05:13 +0000 2019,"Stuck in the plane United airlines #614 , with no help from United airlines regarding my connection from ORD to Zurich .","Texas, USA",
25,Nahum833,Sat Jul 20 23:03:55 +0000 2019,RT @Eptic: It's insane how much airlines try to trick you into spending more money by making their websites overly complicated. Tried to bo…,"Houston, TX",
26,hyperCMS,Sat Jul 20 22:55:06 +0000 2019,American and United Airlines CEOs Just Met With President Trump. What Happened Next 'Shocked' Them… https://t.co/7wqqAudAkx,,
27,orcawestit,Sat Jul 20 22:52:36 +0000 2019,American and United Airlines CEOs Just Met With President Trump. What Happened Next 'Shocked' Them… https://t.co/yK5tfBgxDG,"Vancouver, British Columbia",
28,RayLRiv,Sat Jul 20 22:52:25 +0000 2019,"RT @AirlineGeeks: On July 19, 1989, the crew of United Airlines flight 232 from Denver to Chicago was faced with the impossible task of fly…",KLOU KSDF KY,
29,suzanmoto,Sat Jul 20 22:52:02 +0000 2019,RT @stojkovic_alex: American and United  Airlines CEOs Just Met With President Trump. Here's Why They Were 'Shocked' @billmurphyjr https://…,Port Moody ,
30,ReSinanian,Sat Jul 20 22:46:52 +0000 2019,RT @Inc: American and United Airlines CEOs Just Met With President Trump. Here's Why They Were 'Shocked' @billmurphyjr https://t.co/42fU8zd…,US,
31,icoreprinciples,Sat Jul 20 22:45:51 +0000 2019,American and United Airlines CEOs Just Met With President Trump. What Happened Next 'Shocked' Them https://t.co/sAnuu9yZD6,Texas,
32,stojkovic_alex,Sat Jul 20 22:44:02 +0000 2019,American and United  Airlines CEOs Just Met With President Trump. Here's Why They Were 'Shocked' @billmurphyjr https://t.co/kfVoolpale,"Toronto, Canada",
33,jjj5819,Sat Jul 20 22:38:02 +0000 2019,RT @Inc: American and United Airlines CEOs Just Met With President Trump. Here's Why They Were 'Shocked' @billmurphyjr https://t.co/42fU8zd…,Worcester  MA,
34,Abdullah_Nergiz,Sat Jul 20 22:31:20 +0000 2019,RT @Inc: American and United Airlines CEOs Just Met With President Trump. Here's Why They Were 'Shocked' @billmurphyjr https://t.co/42fU8zd…,Istanbul,
35,LuxeTiffany,Sat Jul 20 22:30:20 +0000 2019,"United hopes to make wi-fi free, faster https://t.co/ABHW0vK3YM via @SFGate via @JohnnyJet #travel",Global,
36,farhadtoor,Sat Jul 20 22:29:06 +0000 2019,American and United Airlines CEOs Just Met With President Trump. Here's Why They Were 'Shocked' billmurphyjr https://t.co/mcGKxXvA84,Paris,
37,GardaWorldC24,Sat Jul 20 22:28:29 +0000 2019,"India: United Airlines to resume flights from Newark (EWR) to New Delhi and Mumbai from September 6
https://t.co/8oggq8GsLD",Worldwide,
38,PaulHoward_IMIT,Sat Jul 20 22:28:14 +0000 2019,RT @Inc: American and United Airlines CEOs Just Met With President Trump. Here's Why They Were 'Shocked' @billmurphyjr https://t.co/42fU8zd…,Ottawa,
39,Inc,Sat Jul 20 22:25:15 +0000 2019,American and United Airlines CEOs Just Met With President Trump. Here's Why They Were 'Shocked' @billmurphyjr https://t.co/42fU8zd8Nt,New York City,
40,JeromeElam,Sat Jul 20 22:15:35 +0000 2019,"RT @ncose: #12DaysofAction starts now! @United, you’re first on the list this year. We want to know why you STILL haven’t improved your tra…",United States,
41,dvdinfatuation,Sat Jul 20 22:15:00 +0000 2019,At the time he made this #horror #film the actor playing the young lover also worked as a pilot for United Airlines… https://t.co/EWGRfIZ9SR,Pennsylvania,
42,jetlifeual,Sat Jul 20 22:11:23 +0000 2019,"RT @AirlineGeeks: On July 19, 1989, the crew of United Airlines flight 232 from Denver to Chicago was faced with the impossible task of fly…","Brandon, Florida",
43,shrwood,Sat Jul 20 22:10:04 +0000 2019,"They do not get it! They cannot give Trump money for hotels. Really simple to understand.

American and United Airl… https://t.co/gh0ZGTK3nI",Silicon Valley | LA | NYC,
44,YadiraSD,Sat Jul 20 22:05:51 +0000 2019,"""American and United Airlines CEOs Just Met With President Trump. What Happened Next 'Shocked' Them"" Read it at: https://t.co/MemWAm7oDk","Miramar, FL",
45,Basilisto,Sat Jul 20 22:03:36 +0000 2019,RT @HAUPOLD: American and United Airlines CEOs Just Met With President Trump at the White House. Here's Why They Were 'Shocked' By the Resu…,,
46,HomeBizGirl,Sat Jul 20 22:03:09 +0000 2019,American and United Airlines CEOs Just Met With President Trump. What Happened Next 'Shocked' Them… https://t.co/Uqi67lWjeI,"Savannah, GA",
47,PierreNodasuna,Sat Jul 20 22:01:07 +0000 2019,RT @HAUPOLD: American and United Airlines CEOs Just Met With President Trump at the White House. Here's Why They Were 'Shocked' By the Resu…,Destroit,
48,antonyvilleger,Sat Jul 20 22:00:14 +0000 2019,American and United Airlines CEOs Just Met With President Trump. What Happened Next… https://t.co/P3iF6i0kJo,Reims - France,
49,jp360solutions,Sat Jul 20 21:55:36 +0000 2019,RT @jeralynpasinabo: American and United Airlines CEOs Just Met With President Trump at the White House. Here's Why They Were 'Shocked' By…,"Ohio, USA",
50,NYStartupLab,Sat Jul 20 21:55:25 +0000 2019,American and United Airlines CEOs Just Met With President Trump at the White House. Here's Why They Were 'Shocked'… https://t.co/bZrkI2WkPD,"New York, New York",
51,jeralynpasinabo,Sat Jul 20 21:55:08 +0000 2019,American and United Airlines CEOs Just Met With President Trump at the White House. Here's Why They Were 'Shocked'… https://t.co/7ki0irdBb7,"Springboro, OH",
52,HAUPOLD,Sat Jul 20 21:55:08 +0000 2019,American and United Airlines CEOs Just Met With President Trump at the White House. Here's Why They Were 'Shocked'… https://t.co/qkYXiHYsMU,puerto de santa maria,
53,JeanCaragher,Sat Jul 20 21:55:07 +0000 2019,American and United Airlines CEOs Just Met With President Trump at the White House. Here's Why They Were 'Shocked'… https://t.co/jnecTkWO7z,Florida's West Coast,
