,user,date,text,location,coordinates
0,NPR,Mon Jul 15 22:43:04 +0000 2019,"American Airlines is pulling the Boeing 737 Max from its schedule through Nov. 2. 

And United Airlines will cancel… https://t.co/KNv8nchxaD",,
1,CNBC,Tue Jul 16 21:40:21 +0000 2019,"Stocks making the biggest moves after hours: United Airlines, CSX, Seattle Genetics https://t.co/qw3wSuwHHN","Englewood Cliffs, NJ",
2,CNBC,Tue Jul 16 20:18:17 +0000 2019,United Airlines' profit tops Wall Street estimates https://t.co/4AJygVLxgV,"Englewood Cliffs, NJ",
3,barbc9988,Tue Jul 16 23:59:09 +0000 2019,"RT @denverpost: JUST IN: United Airlines vendor loses contract at DIA, tells state that 439 jobs will be terminated, some of which will be…",,
4,Wazupnaija,Tue Jul 16 23:59:04 +0000 2019,"Stocks making the biggest moves after hours: United Airlines, CSX, Seattle Genetics - https://t.co/olPHeZWL3T","Lagos, Nigeria",
5,rrileyv,Tue Jul 16 23:56:41 +0000 2019,"Tried to change my flight on United Airlines by one day and they want to hit me with $384 per person, times 3 is $1… https://t.co/UUzORntGsV","Denver, CO",
6,dfwtower,Tue Jul 16 23:54:47 +0000 2019,@United 2019 Q3 earnings. Purchase of 19 used 737-700s. #DFW #airlines https://t.co/zxl4YAsq2s,DFW,
7,NefCanuck,Tue Jul 16 23:54:08 +0000 2019,@Staff_ieri @JustinTrudeau @marcomendicino United Airlines is still in business and they had a passenger removed fr… https://t.co/ENnWq4vAkG,,
8,vestywaves,Tue Jul 16 23:50:38 +0000 2019,"Stocks making the biggest moves after hours: United Airlines, CSX, Seattle Genetics https://t.co/jwNSlFNPJu.",,
9,denverpost,Tue Jul 16 23:49:53 +0000 2019,"JUST IN: United Airlines vendor loses contract at DIA, tells state that 439 jobs will be terminated, some of which… https://t.co/txXQwU0wdJ","Denver, CO",
10,locuslabs,Tue Jul 16 23:48:45 +0000 2019,We're proud to be part of this game changing flight experience called ConnectionSaver being deployed by our friends… https://t.co/3k1zjSRJ4i,"San Francisco, CA",
11,conpropaganda,Tue Jul 16 23:48:12 +0000 2019,Al Gore says Trump is planning to replace Secret Service with United Airlines security - https://t.co/TT5S7UlXx5,,
12,_fxtyphoon_,Tue Jul 16 23:43:07 +0000 2019,"United Airlines Reports Q2 Beat, Raised Guidance: United Airlines Holdings Inc (NASDAQ: UAL) shares traded slightly… https://t.co/nbtpPLVqQR",,
13,ivanmladek,Tue Jul 16 23:34:43 +0000 2019,"United Airlines quarterly profit beats on strong travel demand, higher fares - Nasdaq

https://t.co/oy9XjKilbY","San Francisco, CA",
14,HottestStockNow,Tue Jul 16 23:30:43 +0000 2019,$UAL - The Real Numbers Behind United Airlines Revealed   https://t.co/OWscT0riQu,"Las Vegas, NV",
15,LatinoLdnOnt,Tue Jul 16 23:30:26 +0000 2019,Hawaiian Airlines was the only U.S. carrier to receive five stars in OAG’s On-Time Performance Ratings https://t.co/MGCgz3nq8x,"London, Canada",
16,SpeedBird_NCL,Tue Jul 16 23:30:08 +0000 2019,"United Airlines discloses purchase of 19 used Boeing 737-700 planes:
https://t.co/s1LFIjeQ2u
#Aviation #Airline https://t.co/OlmBpe8izg",Worldwide,
17,DowDog2018,Tue Jul 16 23:30:02 +0000 2019,American Airlines and United Airlines Cancel More Boeing 737 MAX Flights https://t.co/cnc1rGXbqP https://t.co/vUKjc3gqcj,United States,
18,IBDinvestors,Tue Jul 16 23:28:55 +0000 2019,RT @IBD_ECarson: After Hours: Two Big Earnings Movers; Lawmakers Hammer Big Tech https://t.co/tWykbwzxT6 $CSX $UAL $AAPL $AMZN $FB $UNP htt…,"Los Angeles, CA",
19,thatkneegro,Tue Jul 16 23:28:33 +0000 2019,"I just want a Director level job with Delta, United or American Airlines.","Portland, OR",
20,IBD_ECarson,Tue Jul 16 23:27:12 +0000 2019,After Hours: Two Big Earnings Movers; Lawmakers Hammer Big Tech https://t.co/tWykbwzxT6 $CSX $UAL $AAPL $AMZN $FB… https://t.co/kifPLpejzl,,
21,robbielynn53,Tue Jul 16 23:22:44 +0000 2019,United Airlines execs to face questions on Boeing 737 jet groundings impact amid higher Q2 earnings  https://t.co/MFtNZqRHic #FoxBusiness,,
22,StuyDude,Tue Jul 16 23:21:08 +0000 2019,"@lesliejosephs I don't think United is the second largest US carrier. I wonder which criteria you used. ""United Air… https://t.co/bEIMVKjofy",,
23,IPv6Freely,Tue Jul 16 23:19:42 +0000 2019,"@SheanLV @united Of all the travelling I did, it was never the actual in the air flying part, or even the staying i… https://t.co/rSmVB9YIWd","Fallbrook, CA",
24,tonylyle,Tue Jul 16 23:16:38 +0000 2019,United Airlines Ups 2019 Profit Forecast as Demand Jumps https://t.co/8CSX5cxsR2 https://t.co/MlfdsljKvp,,
25,Bill_Newell34,Tue Jul 16 23:16:28 +0000 2019,"Stocks making the biggest moves after hours: United Airlines, CSX, Seattle Genetics https://t.co/3xXaY9TcKe",Oregon,
26,garcher84,Tue Jul 16 23:11:49 +0000 2019,For those who don't know the story of United Airlines Flight 232's crash landing (30 years ago this week in Sioux C… https://t.co/ycG02nKQbO,Omaha,
27,dave_taft,Tue Jul 16 23:11:04 +0000 2019,@skift @Delta We all know Delta has the WORST mile rewards in the U.S. Pretty much worthless compared to United or American Airlines.,Georgia,
28,Almighty2Wop,Tue Jul 16 23:09:29 +0000 2019,@iamTee_lake Oh ya that’s a long flight delta and United or American Airlines they was nice too,"Florida, USA",
29,AtlantaMediaSoc,Tue Jul 16 23:08:40 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/PrXfu9wffN #Atlanta,,
30,LasVegasMedia1,Tue Jul 16 23:06:48 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/1R1h2lMfBx #vegas,Las Vegas,
31,OaklandNews4You,Tue Jul 16 23:06:11 +0000 2019,Liked on YouTube: United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/5MGDqYQVuo,"Oakland, CA",
32,ZennieGeek,Tue Jul 16 23:06:04 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/M4R61j5ml4 #tech,Oakland,
33,ZennieGeek,Tue Jul 16 23:06:04 +0000 2019,United Airlines Promotes “Spider-Man Far From Home” On Flight Napkins https://t.co/VOoi4OKdyr #tech,Oakland,
34,ZennieGeek,Tue Jul 16 23:06:03 +0000 2019,United Airlines Promotes “Spider-Man Far From Home” On Flight Napkins https://t.co/rTQYtmEcGW #tech,Oakland,
35,ZennieGeek,Tue Jul 16 23:06:02 +0000 2019,United Airlines B737-800 SFO To San Diego Weird Route Turn After Takeoff https://t.co/g0hqS84w9G #tech,Oakland,
36,ZennieGeek,Tue Jul 16 23:06:01 +0000 2019,United Airlines B737-800 SFO To San Diego Weird Route Turn After Takeoff https://t.co/yl4pXswGbG #tech,Oakland,
37,ZennieGeek,Tue Jul 16 23:06:01 +0000 2019,United Airlines B737-800 ATL To SFO Landing July 16 2019 https://t.co/LYK164SRgg #tech,Oakland,
38,ZennieGeek,Tue Jul 16 23:06:00 +0000 2019,United Airlines B737-800 ATL To SFO Landing July 16 2019 https://t.co/0BUwzGvjwf #tech,Oakland,
39,AtlantaMediaSoc,Tue Jul 16 23:04:38 +0000 2019,#Atlanta United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/PrXfu9wffN,,
40,Zennie62Media1,Tue Jul 16 23:04:30 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/VaJbcR6s3Y,"Oakland, ATL, Chicago, NYC, LA",
41,OakJoe1,Tue Jul 16 23:03:56 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/Ob8NQ9EOnU,"Oakland, CA",
42,oaklandtrib,Tue Jul 16 23:03:37 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/iSp9DDiixS #video,"Oakland, CA",
43,OaklandNews4You,Tue Jul 16 23:03:32 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/5MGDqYQVuo,"Oakland, CA",
44,OaklandMedia2,Tue Jul 16 23:03:30 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/t1rYQgr4kV,,
45,HollywoodMedia1,Tue Jul 16 23:03:25 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/MBpbdya0G2 #Vlogger,Focus: Hollywood,
46,OaklandSportBlo,Tue Jul 16 23:03:22 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/WRLTmt3huy,"Oakland, California",
47,FlyinWyland,Tue Jul 16 23:03:20 +0000 2019,Going to be doing my first Trip Report soon!  Next week expect to see a report on United Airlines Economy Plus from… https://t.co/YDiDYxRl6w,"Houston, TX",
48,zennie62,Tue Jul 16 23:02:57 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/YAZnw0MX8F,"Oakland, CA | Oakland Vlogger",
49,JonDiDenver,Tue Jul 16 23:02:49 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/vCj88BwfcD #vlog,Sacramento,
50,oaklandtrib,Tue Jul 16 23:02:46 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/iSp9DDiixS,"Oakland, CA",
51,OlympicsMedia,Tue Jul 16 23:02:42 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/JfIBH4UqCU #Olympics,"Chicago, IL",
52,NeyMarrySocial,Tue Jul 16 23:02:37 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/LR0sArCf0T,"Los Angeles, CA",
53,AtlantaVidPR,Tue Jul 16 23:02:37 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/sLuWUlOSZl,Atlanta,
54,RichmondBlogger,Tue Jul 16 23:02:29 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/yUZ8fPtBuo,"Richmond, CA",
55,LasVegasMedia1,Tue Jul 16 23:02:15 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/1R1h2luEJZ #video,Las Vegas,
56,worldnewsmedia1,Tue Jul 16 23:01:55 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/STCK6MOgPl #YouTube,Oakland and Atlanta,
57,LosAngelesSocMe,Tue Jul 16 23:01:50 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/sMtdsKVteW #LA,"Los Angeles, CA",
58,oaklandvlogger1,Tue Jul 16 23:01:47 +0000 2019,#Oakland United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/Gv45azTWFt,"Oakland, CA",
59,ColiseumOak,Tue Jul 16 23:01:43 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/NHKEJkWBio,"Oakland, CA",
60,MarvelAvengersN,Tue Jul 16 23:01:40 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/E6vQpTDTrS,San Francisco,
61,zennie62wonder,Tue Jul 16 23:01:39 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/ly7VAmTNh3 #Vlog,WonderCon ComicCon,
62,JonDiDenver,Tue Jul 16 23:01:36 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/vCj88BwfcD,Sacramento,
63,ConsumerTechCES,Tue Jul 16 23:01:33 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/kKwvIUq0Rd #CES,"Palo Alto, CA",
64,SeattleFocus,Tue Jul 16 23:01:31 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/8JYK1JFxgH #Seattle,"Seattle, WA",
65,TheInStockRoom,Tue Jul 16 23:01:29 +0000 2019,"***New Deal***
New Orleans to New York / Newark or Vice Versa $109 RT Nonstop Airfares on United Airlines BE (Trave… https://t.co/U0CK8Id6kH",⬇️Latest Deals⬇️HappySavings⬇️,
66,HollywoodMovieP,Tue Jul 16 23:01:17 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/b7I8F40hhH,"Hollywood, Atlanta, Oakland",
67,Superbowl51News,Tue Jul 16 23:01:15 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/7VkX3pPZVO #SB51,"Atlanta, GA",
68,oaklandrugby1,Tue Jul 16 23:01:13 +0000 2019,United Airlines B737-800 SFO To San Diego Landing July 16 2019 https://t.co/eYUMXNy7wp,,
