,user,date,text,location,coordinates
0,RalphNader,Thu Aug 08 22:39:26 +0000 2019,"Workers make profit possible. More than 10 years after the crash, worker pay is still lagging behind -- while CEOs… https://t.co/pPmvMVHGQW","Washington, DC",
1,iPhone__Fashion,Fri Aug 09 23:56:37 +0000 2019,Los Angeles to Tokyo Japan $442-$449 RT Nonstop Airfares on Singapore Air or ANA/United Airlines (Travel October –… https://t.co/9LGuiB0BGv,,
2,claimcompanies,Fri Aug 09 23:52:23 +0000 2019,RT @BarristerLarry: United Airlines flight from Glasgow to Newark is cancelled when BOTH pilots are arrested for turning up 'drunk'. https:…,,
3,ManfromMosman,Fri Aug 09 23:49:41 +0000 2019,It’s “mostly dry” in Arizona almost any time of the year. Aboard United Airlines ERJ 175 and headed East. @united https://t.co/aAsk0Rsw21,,
4,BarristerLarry,Fri Aug 09 23:48:15 +0000 2019,United Airlines flight from Glasgow to Newark is cancelled when BOTH pilots are arrested for turning up 'drunk'. https://t.co/i5jUDodN1f,Canada,
5,sellatrj,Fri Aug 09 23:39:44 +0000 2019,@ShaullHannah It sucks a lot!!! American airlines also sucks bad. United is the cheapest bc of a few incidents but… https://t.co/R2DF1HfgCQ,"Oregon, USA",
6,marcusdipaola,Fri Aug 09 23:34:11 +0000 2019,RT @DailyMail: United Airlines flight attendant was FOUR TIMES over the limit working on a flight from Chicago to Indiana https://t.co/AEfS…,"Washington, DC",
7,laulaurlaurie,Fri Aug 09 23:28:20 +0000 2019,RT @DailyMail: United Airlines flight attendant was FOUR TIMES over the limit working on a flight from Chicago to Indiana https://t.co/AEfS…,South Florida,
8,DailyMail,Fri Aug 09 23:26:03 +0000 2019,United Airlines flight attendant was FOUR TIMES over the limit working on a flight from Chicago to Indiana https://t.co/AEfSH93P6F,New York,
9,QuentinMaquet,Fri Aug 09 22:54:43 +0000 2019,"RT @airplusnews_EN: 🇺🇸 'Drunk' flight attendant 'passed out in her seat, slurred through the safety announcement and asked which city they…","Paris, Ile-de-France",
10,garyrind,Fri Aug 09 22:53:27 +0000 2019,@FredFaour @AJIsTheReal The sole attendant on a flight operated by a United Airlines regional  airline was drunk an… https://t.co/NVhqZEHrSi,"Houston, TX",
11,stevenbryant723,Fri Aug 09 22:47:56 +0000 2019,@Ave_Ria @StillSumAsshole @Ratspitt @Troubl37 @mmajapjunkie @bulletvaIentina @vinbeam @JO7533 @_SeasonedSalt… https://t.co/g6IKOj2aLQ,"Eudora, KS ➡ Davenport, IA",
12,ragan31687,Fri Aug 09 22:47:41 +0000 2019,@RealBrookeAdams @united  @Delta and @SpiritAirlines are the absolute worst airlines. Never fly any of them. Stick… https://t.co/gVSzpvWsLz,"Long Island, NY",
13,ddootzles,Fri Aug 09 22:41:31 +0000 2019,@WorldHijabDay This is why I fly WestJet 😅 Air Canada is the Canadian version of United Airlines smh,,
14,EnayetTabla,Fri Aug 09 22:37:33 +0000 2019,"See you soon San Diego, LA and San Fransisco — at United Airlines Terminal C Gate 123 https://t.co/IG5EmujDDn","Baltimore, MD (USA)",
15,BrooklynDreams_,Fri Aug 09 22:35:44 +0000 2019,United Airlines is absolute trash!!! I hope I never have to fly with these people again!!!!!,Tex-yaaas,
16,KINGMARLOKOOPA,Fri Aug 09 22:34:58 +0000 2019,“is”a medical condition. No program for recovery through united airlines for battle of  health?? #awareness… https://t.co/mzCloDW4Ru,The universe ,
17,DSteciuk,Fri Aug 09 22:33:14 +0000 2019,United airlines @united doing what they do best.... Pissing off customers. 👏 Don't fly them if you can avoid it. https://t.co/n2U7tWodVw,,
