,user,date,text,location,coordinates
0,iran_policy,Wed Jul 24 06:47:57 +0000 2019,"The United States on Tuesday warned companies against dealing with Iranian airlines, alleging that many of them sup… https://t.co/FJhFTjJVno","Tehran, Iran, Paris, France",
1,peta,Wed Jul 24 20:00:10 +0000 2019,"VICTORY! 🎉

@united Airlines has stopped selling #SeaWorld tickets &amp; removed all mentions of the park from its… https://t.co/jzyDZOA4y6","Los Angeles, CA / Norfolk, VA",
2,EAA,Wed Jul 24 14:11:43 +0000 2019,A @united Airlines Boeing 787 Dreamliner has arrived in Oshkosh for #OSH19! Catch it on Boeing Plaza today as part… https://t.co/7fiS9C0bmI,"Oshkosh, Wisconsin USA",
3,TieszenShawn,Tue Jul 30 23:59:02 +0000 2019,RT @TedLeonsis: United Airlines and @Clear announce major partnership and investment using biometrics screening for efficiency and speeding…,"Las Vegas, NV.",
4,ninetyfallen,Tue Jul 30 23:58:58 +0000 2019,RT @miridiot: united airlines with lauren’s suitcase after they “lost” it https://t.co/jjEJMNacIz,"Cayey, Puerto Rico",
5,m_n_14_,Tue Jul 30 23:56:16 +0000 2019,RT @miridiot: united airlines with lauren’s suitcase after they “lost” it https://t.co/jjEJMNacIz,,
6,tripchi,Tue Jul 30 23:55:02 +0000 2019,.@united #Airlines supports women in #aviation with all-female #Dreamliner Flight. #jetsetter #avgeek… https://t.co/93TGPJLgwG,"Denver, CO, USA",
7,LZarafonetis,Tue Jul 30 23:55:02 +0000 2019,Victory for Dolphins - United Airlines Stops Selling Tickets to SeaWorld https://t.co/yJBWL2uVIs via @ladyfreethinker,"Dallas, TX",
8,merfewal,Tue Jul 30 23:52:03 +0000 2019,"RT @WorldAnimalNews: Breaking! @United Airlines has stopped selling tickets to @SeaWorld 🙏🐬

We applaud #UnitedAirlines for taking this sta…",,
9,chaviation,Tue Jul 30 23:45:07 +0000 2019,"ExpressJet Airlines to open Chicago O'Hare crew base: ExpressJet Airlines (EV, Atlanta Hartsfield Jackson) has anno… https://t.co/9kT96hu6Zl",,
10,Life5555555,Tue Jul 30 23:44:47 +0000 2019,"@united Why do you treat Hawai’i bound 1st class travellers like trash? Old planes, bad accommodations. Other airli… https://t.co/OpgyW2WDgd",,
11,CopierCollin,Tue Jul 30 23:38:18 +0000 2019,@NombreEsJustin @LMac_1326 I have his number from when he posted his United airlines complaints. Might text him.,Int’l Space Station,
12,cachete94249129,Tue Jul 30 23:36:25 +0000 2019,"RT @MichiganWave: @Grittyfanacct @vdare @realDonaldTrump &amp; Remember this stunner-
https://t.co/VXQAlCGzuU",天王洲,
13,ralphmays_,Tue Jul 30 23:35:18 +0000 2019,RT @qchristianorg: Q Christian is pleased to partner with United Airlines for air travel to the 2020 Conference in Fort Lauderdale! Save up…,"Atlanta, GA",
14,MarlenePlourde,Tue Jul 30 23:35:11 +0000 2019,Victory for Dolphins - United Airlines Stops Selling Tickets to SeaWorld https://t.co/Dj0M11xerV via @ladyfreethinker,Montréal,
15,ThomasJHarris17,Tue Jul 30 23:33:28 +0000 2019,"@AstronautAbby @AmericanAir I do not wish to sound like a prude, dear Abby, you asked for worst airline travel nigh… https://t.co/DgO9Sq1zuB","Scottsbluff, Nebraska",
16,SimonBRussell,Tue Jul 30 23:32:15 +0000 2019,Call to Action Against United Airlines - Welcome to the Unfriendly Skies https://t.co/Y4d7M6KLB7 via @YouTube,"Se Cleveland,Tennessee",
17,qchristianorg,Tue Jul 30 23:30:08 +0000 2019,Q Christian is pleased to partner with United Airlines for air travel to the 2020 Conference in Fort Lauderdale! Sa… https://t.co/89XcXjdigf,"Denver, CO",
18,MightyTravels,Tue Jul 30 23:30:07 +0000 2019,United Airlines: Portland (PDX) to Austin (AUS) just US$ 118 Economy Round Trip incl all taxes and fees https://t.co/xr84RqdGK2,"Albuquerque, NM",
19,MikeDShorter,Tue Jul 30 23:29:29 +0000 2019,"I’ll neva. neva. eva, eva, eva fly United again — at United Airlines - Denver International Airport https://t.co/FjNEPDqH4F","Tampa Bay, FL",
20,tydoIIaslegion,Tue Jul 30 23:27:56 +0000 2019,RT @miridiot: united airlines with lauren’s suitcase after they “lost” it https://t.co/jjEJMNacIz,(lauren jauregui’s album) 🅴,
21,Black_Airlines,Tue Jul 30 23:27:36 +0000 2019,RT @YT___24: Black men in the United States has had a stereotype of us not taking care of our kids for the longest. For you to degrade Lebr…,"Los Angeles, CA",
22,larsunsbrie,Tue Jul 30 23:24:54 +0000 2019,RT @miridiot: united airlines with lauren’s suitcase after they “lost” it https://t.co/jjEJMNacIz,𝚖𝚞𝚜𝚝 𝚞 𝚔𝚗𝚘𝚠,
23,captainjagooey,Tue Jul 30 23:24:39 +0000 2019,RT @miridiot: united airlines with lauren’s suitcase after they “lost” it https://t.co/jjEJMNacIz,𝖋𝖍|𝖌𝖔𝖙|𝖒𝖆𝖗𝖛𝖊𝖑,
24,miridiot,Tue Jul 30 23:22:17 +0000 2019,united airlines with lauren’s suitcase after they “lost” it https://t.co/jjEJMNacIz,@notbexonce,
25,JayCapitalinc,Tue Jul 30 23:19:49 +0000 2019,"Buy(AAL)✈️🇺🇸American Airlines its a company that does not get much attention. Epically with delta,United, South Wes… https://t.co/i9WqhUuU0B","Chicago, IL",
26,secureoptions,Tue Jul 30 23:19:36 +0000 2019,"For the price, I wasn't too happy with my United Airlines experience today. Nothing like garbage left from a previo… https://t.co/SSMzhN9bhE","Chicago, IL USA",
27,therestlessroad,Tue Jul 30 23:16:25 +0000 2019,United Airlines supports women in aviation with all-female Dreamliner Flight to EAA AirVenture  https://t.co/YeTxcQcaVi,"Denver, CO",
28,ericksydow,Tue Jul 30 23:16:13 +0000 2019,Sometimes life gives you a surprise. This time came at the hands of the crew from @united airlines. Thank you Sara… https://t.co/MXhezYGDUp,,"{'type': 'Point', 'coordinates': [-100.3189, 25.6714]}"
