,user,date,text,location,coordinates
0,WorkingAmerica,Mon Jul 22 14:30:29 +0000 2019,"American Airlines, Delta, and United made over $50 billion in combined profits in the past five years, yet the peop… https://t.co/nafjclcrP0",Wherever needed,
1,AirlineGeeks,Sat Jul 20 17:10:04 +0000 2019,"On July 19, 1989, the crew of United Airlines flight 232 from Denver to Chicago was faced with the impossible task… https://t.co/JDHzNQtJ1j","Washington, DC & Global",
2,JudgeCarterBot,Mon Jul 22 23:53:53 +0000 2019,"On 2019-02-20, @JudgeCarter (R-Killeen)'s' ""John Carter For Congress"" reported a $620.2 expenditure to ""United Airl… https://t.co/NQMQmQ9xVC","Texas, USA",
3,adervish,Mon Jul 22 23:53:34 +0000 2019,@nathanheller Glad it’s not just UAL... I guess. United does rush hour with 787-8 and 777-200s. What I dislike abou… https://t.co/9Fs9t6rWsm,brooklyn and marin county,
4,claimcompanies,Mon Jul 22 23:52:21 +0000 2019,RT @emmanuelroldan_: Yo @united Airlines. You are TRASH. You cancelled my boy’s flight TWICE and refused a refund both times. Make this rig…,,
5,emmanuelroldan_,Mon Jul 22 23:50:13 +0000 2019,Yo @united Airlines. You are TRASH. You cancelled my boy’s flight TWICE and refused a refund both times. Make this… https://t.co/vECbV9xPlM,Chicago,
6,JC3NJ,Mon Jul 22 23:47:05 +0000 2019,"@bxtto @united These damn airports are getting out of hand.  The airlines are so overwhelmed and delayed, there’s m… https://t.co/JewCmmBzYq","Williamstown, NJ",
7,RaviletEtienne,Mon Jul 22 23:46:51 +0000 2019,#UnitedAirlines one of my family members lost his passport in a United Airlines flight and is trying to get it back… https://t.co/cHbVyZbK06,,
8,SQLDBA,Mon Jul 22 23:46:40 +0000 2019,"Of all the airlines I’ve been on, I think United has the best boarding process I’ve seen so far. Line up in groups,… https://t.co/X9P7UNafCc","Orlando, FL",
9,healthybart,Mon Jul 22 23:44:22 +0000 2019,RT @Sedgwick: Join @OutFrontIdeas w/@kimberlyanngeo of Sedgwick &amp; @wcmarkwalls of @safetynational 8/12 at 10AM as they host the #WCI2019 In…,,
10,Koji_UAL,Mon Jul 22 23:38:24 +0000 2019,The future is connected! https://t.co/3XllmQPfrp #BeingUnited,,
11,BethLivingstoNC,Mon Jul 22 23:33:23 +0000 2019,"@united While i appreciate that, other airlines were departing to my destination, my gate changed (for the same fli… https://t.co/xhz1DfWENc",NC Piedmont Triad,
12,gharo34,Mon Jul 22 23:33:12 +0000 2019,"RT @gharo34: When it comes to buying tickets to the next Fight Night, I guess I have to take Disney under consideration. 

United Airlines…","Irving, TX / Los Angeles, CA",
13,akaashkolluri,Mon Jul 22 23:30:13 +0000 2019,@agraybee Quite honestly Osama Bin Laden himself could rise from beyond the grave to yell at American Airlines (or… https://t.co/HIrELPoQTo,MI/DC,
14,BethLivingstoNC,Mon Jul 22 23:28:27 +0000 2019,@united The auto-rebooking on your app has prpblems with the algorithm. Gate agent found better flights using other… https://t.co/rEIEk5ClQW,NC Piedmont Triad,
15,CaryatidsStone,Mon Jul 22 23:25:57 +0000 2019,On @United airlines and they just took my son’s carryon bag saying it was a full flight and there is insufficient o… https://t.co/fGrDyVcnGL,3rd rock,
16,SoquelCreek,Mon Jul 22 23:20:16 +0000 2019,Found out that a friend's wife was on that infamous United Airlines flight where they dragged a paid customer out o… https://t.co/wYPNa7lat1,"Soquel, California, USA",
17,locodeschamps,Mon Jul 22 23:14:56 +0000 2019,@united they had already announced a 20 minute delay instead they chose to bring us aboard and let us smell piss fo… https://t.co/c7R9nDbCDb,"ÜT: 19.193067,-96.263344",
18,medleyj64119,Mon Jul 22 23:12:09 +0000 2019,@realDonaldTrump I thought you were supposed to be on America’s side. https://t.co/Cf7LsJpzo2,"Seattle, WA",
19,jeffswhore,Mon Jul 22 23:10:49 +0000 2019,David hiding in Jason’s pussy just to get through United Airlines https://t.co/rNmf3g5EBk,,
20,robertrolwing,Mon Jul 22 23:07:00 +0000 2019,United Airlines signals more big moves in wake of record financials https://t.co/DaAfio4Z7R via @ChiBizJournal,"Chicago,Il,USA",
21,weswwmvip,Mon Jul 22 23:04:10 +0000 2019,@MaryLandersSMN @united That is a horror story for the teenager and parent. These airlines can do better. Customer… https://t.co/t6iLEyVo7N,,
22,tjlahna,Mon Jul 22 23:01:01 +0000 2019,"So disappointed in @united airlines. They canceled Kayla’s flight due to weather, failed to give her any sort of vo… https://t.co/frjrqRDVWo",,
23,jammasterdad,Mon Jul 22 22:53:26 +0000 2019,@united basic economy is not up to par with discount airlines. I could not pay to check a bag. Bad customer service… https://t.co/YECtRibrPI,,
24,FRANCIS39781980,Mon Jul 22 22:23:53 +0000 2019,##  SHARE  @visitcatalonia   WITH  THE  @united   UNITED  AIRLINES   IN  LOS  ANGELES  CALIFORNIA  U.S.A  .  ## https://t.co/6Xmc6AsmuE,,
25,EWRairport,Mon Jul 22 22:14:57 +0000 2019,"@Oliver_Law We're sorry that this happened, Oliver. The airline is responsible for checked baggage issues. We have… https://t.co/FtOEhsXM4J","Newark, NJ",
26,AlanJKeefe,Mon Jul 22 22:14:18 +0000 2019,@ambeanie_moss My dad worked for United Airlines and I loved planes. Took me to the airport to when I was about 8 t… https://t.co/64cK7p50ar,Seattle metro area.,
27,KelMillionie,Mon Jul 22 22:02:06 +0000 2019,"I kinda want to be the woman in the @united airlines commerical ""Living Joyfully."" Not only is she fierce and fabul… https://t.co/j8PzPcYAvs","Baltimore, MD",
28,bpatafie,Mon Jul 22 22:01:13 +0000 2019,"I've been on 12 flights this summer all on @united Airlines. The service, on time schedule and the cleanliness of t… https://t.co/AL19wIhshI","Honolulu, 🇺🇸 BC, 🇨🇦",
29,AWFRadio,Mon Jul 22 22:00:18 +0000 2019,"John Samuelson, president of @transportworker spoke with AWF earlier today about American Airlines and their issues… https://t.co/IBX5QmPM79",,
30,claimcompanies,Mon Jul 22 21:52:53 +0000 2019,RT @KayTude: Well @united airlines officially have the worst customer service of any airline I’ve been on. Between cancelled flights and th…,,
31,FRANCIS39781980,Mon Jul 22 21:47:41 +0000 2019,##  SHARE  @spain   VISIT  SPAIN  WITH  THE  @AmericanAir   AMERICAN  AIRLINES  IN  LOS  ANGELES  CALIFORNIA  UNITE… https://t.co/sZWIXtk1ye,,
32,MontanaStandard,Mon Jul 22 21:46:08 +0000 2019,The board overseeing Butte’s airport is listening to the people and recommending that a federal agency keep awardin… https://t.co/J8Nif4zvr0,"Butte, Montana",
33,KayTude,Mon Jul 22 21:44:54 +0000 2019,Well @united airlines officially have the worst customer service of any airline I’ve been on. Between cancelled fli… https://t.co/FG4wgHfZta,,
34,Travel_Fairness,Mon Jul 22 21:42:21 +0000 2019,"Don't let @AmericanAir, @Delta &amp; @united close our skies to much-needed competition on international flights. Rathe… https://t.co/a9Lhmi4637","Chicago, IL",
35,DCJWJ,Mon Jul 22 21:36:37 +0000 2019,"American Airlines, Delta, and United made over $50 BILLION in combined profits in just the past 5 years alone. With… https://t.co/gk8F1HiAar","Washington, DC",
36,JimByersTravel,Mon Jul 22 21:36:23 +0000 2019,"Love the United Terminal 7 lounge at LAX. Enjoying some Japanese noodles, Mexican soup and a cold drink as I get re… https://t.co/ZeLaJpCmt7","ÜT: 43.724882,-79.471653",
37,oneblkbutterfly,Mon Jul 22 21:35:21 +0000 2019,@Nagzz21 @united You asking this airline for recommendations to better airlines is iconic.... lmfao,,
38,CyberConsulting,Mon Jul 22 21:32:30 +0000 2019,"RT @TrackerPayton: 🤔 American and United MUST change 31 planes' cockpit screens by November
 https://t.co/KVlJ13iPuM",Sacramento area,
39,TTDAFLCIO,Mon Jul 22 21:31:10 +0000 2019,"RT @WorkingAmerica: American Airlines, Delta, and United made over $50 billion in combined profits in the past five years, yet the people w…","Washington, DC",
40,_Ruthyyy_,Mon Jul 22 21:20:16 +0000 2019,@LittleLo804 United airlines is hiring for flight attendants right now,"Roanoke, VA",
41,CowboyClueless,Mon Jul 22 21:11:44 +0000 2019,"@AvoriLiz @united Always had issues with United, stopped flying them entirely. Delta is first choice and then AA. I… https://t.co/THMDuey7ZM",,
42,ManPantsLive,Mon Jul 22 21:02:36 +0000 2019,@united @AvoriLiz I respect the hustle to be a United Airlines support person. Y’all most take the most heat in human history.,"Los Angeles, CA",
43,docjdavid,Mon Jul 22 20:57:05 +0000 2019,"RT @LukeatUnited: Taking care of business for every customer, on every flight, every day. https://t.co/6ydGwJZ3OA",Lincoln Nebraska USA,
44,docjdavid,Mon Jul 22 20:56:04 +0000 2019,RT @LukeatUnited: Doing the best at evolving to fit the needs of our customers!  https://t.co/ssXUKfnqbW #BeingUnited,Lincoln Nebraska USA,
45,GPikSmash,Mon Jul 22 20:55:51 +0000 2019,"United Airlines just tried to finesse about $100 more for a round trip in hidden fees, $70 to get to use overhead s… https://t.co/sccyFitBDe",,
46,jeops85,Mon Jul 22 20:52:48 +0000 2019,"I don’t typically do this but, I’m extremely disappointed in the United Airline Customer service.  I had a schedule… https://t.co/9PzSinBFez",,
47,Frankhavemercy,Mon Jul 22 20:49:56 +0000 2019,Bruh united airlines is basically spirit.,,
48,typaro,Mon Jul 22 20:35:43 +0000 2019,Just so y’all know im stuck in DC... I hated United Airlines.. hate hate hate,"Houston, TX",
49,iPhone__Fashion,Mon Jul 22 20:31:44 +0000 2019,Charlotte NC to San Jose CA or Vice Versa $156 RT Airfares on American &amp; United Airlines BE (Travel Aug-May 2020) https://t.co/ohOoBWbTg9,,
50,TravelinsCenter,Mon Jul 22 20:30:24 +0000 2019,Catching z's on a long flight? These US airlines provide amenity kits to help flyers relax https://t.co/ot0dRcPeSP… https://t.co/lTSogZr8dX,"Omaha, NE",
51,ailed888,Mon Jul 22 20:26:47 +0000 2019,@MrAndyNgo @DonaldJTrumpJr @itsericathomas Reminds me of Rep. Sheila Jackson Lee who took someone’s first class seat on United Airlines,,
52,ailed888,Mon Jul 22 20:23:48 +0000 2019,"@SandraFortenbe3 @MrAndyNgo @itsericathomas Another entitled politician, just like Rep. Sheila Jackson Lee who took… https://t.co/nBGnrZbzPj",,
53,iuY0jx47oBZfIlO,Mon Jul 22 20:22:08 +0000 2019,RT @gittinsj: @united Airlines @Boeing 757-300 (N74856) landing at @BostonLogan International Airport in July 2015 #avgeek #planespotting h…,,
54,ilamericano,Mon Jul 22 20:19:39 +0000 2019,RT @ilamericano: Dear President Trump @realDonaldTrump Please note that Twitter will not allow me to post the factual events of what happen…,,
55,ilamericano,Mon Jul 22 20:18:10 +0000 2019,"RT @ilamericano: When my father, William Henry Brainerd, was my age today, he was United Airlines Captain of the B-727, responsible for all…",,
56,PlaneSpotIsCool,Mon Jul 22 20:16:31 +0000 2019,RT @gittinsj: @united Airlines @Boeing 757-300 (N74856) landing at @BostonLogan International Airport in July 2015 #avgeek #planespotting h…,Worldwide,
57,WDenkiewicz,Mon Jul 22 20:13:46 +0000 2019,"""We feel so passionately that you need to watch the safety video every time you're on the plane,"" said Mark Krolick… https://t.co/iQ1MDnmfUN",,
58,gittinsj,Mon Jul 22 20:05:47 +0000 2019,@united Airlines @Boeing 757-300 (N74856) landing at @BostonLogan International Airport in July 2015 #avgeek… https://t.co/5eOD0I0ZaT,"Bay City, MI",
59,Vil3312,Mon Jul 22 20:03:24 +0000 2019,@peaceforchange Beware USA. Pakistan's next target is United airlines. You are warned.,India,
60,EINAirlineNews,Mon Jul 22 20:00:19 +0000 2019,American Airlines and United Airlines Cancel More Boeing 737 MAX Flights https://t.co/HNGoc0Y7z4,"Washington, D.C.",
61,TrinaLarson9,Mon Jul 22 19:52:52 +0000 2019,RT @pj_at_sc: Vintage Ronald McDonald Happy Meal Car ACTION Toy MIP Onboard United Airlines UAL Premium Head Jiggles Feet Move In &amp; Out of…,California,
62,NewsWorldEnergy,Mon Jul 22 19:52:48 +0000 2019,RT @aaronstash: Great to see more airlines embracing sustainable aviation fuel. @united uses this much biofuel in one week at LAX. 150x mor…,"Boston, MA",
63,Efried97,Mon Jul 22 19:51:30 +0000 2019,@Janellias @brisasultra I've only flew united for similar reason and my dad having status with them. I have always… https://t.co/rE5ElBI7Xb,UMass  class of 2019,
64,CassySpringer,Mon Jul 22 19:46:50 +0000 2019,United airlines refused to let my emotional support bees fly with me! Unacceptable!!!,"Montana, USA",
65,Janellias,Mon Jul 22 19:44:49 +0000 2019,"@brisasultra Not that I want to defend United, but I’ve heard horror stories from a couple people the past 2 days o… https://t.co/EjwrNQw8g8",NJ,
66,Bunker45,Mon Jul 22 19:43:10 +0000 2019,@TuckerCarlson Tucker I am 75 year old with a cancer that is not curable. I was treated almost as bad as the doctor… https://t.co/t0gI70DmHk,"Knoxville, Tennessee",
67,AdvancedBiofuel,Mon Jul 22 19:39:04 +0000 2019,RT @aaronstash: Great to see more airlines embracing sustainable aviation fuel. @united uses this much biofuel in one week at LAX. 150x mor…,"Frederick, Maryland",
68,JonathanDMast,Mon Jul 22 19:35:04 +0000 2019,RT @Sedgwick: See @OutFrontIdeas w/@kimberlyanngeo of Sedgwick &amp; @wcmarkwalls of @safetynational 8/12 at 10AM as they host the #WCI2019 Ind…,,
69,KingJCM,Mon Jul 22 19:32:05 +0000 2019,Its coming down hard at work @ Newark International Airport Terminal C- United Airlines https://t.co/zWkdkTpgvA,Union City,
