,user,date,text,location,coordinates
0,elimsteews,Tue Aug 06 23:04:06 +0000 2019,RT @876pilot: Young men in their 20s from Jamaica living the dream. One from Portland and the other from St. Mary. One flying for Delta the…,Deutschland ♡ Saint Lucia,
1,veeceebot,Tue Aug 06 23:03:38 +0000 2019,"If The Rosewood, an United Airlines doesn't seem like perfect mindset",,
2,TravelLeisure,Tue Aug 06 23:01:49 +0000 2019,United flight canceled after both its pilots are arrested on suspicion of intoxication https://t.co/vHCkiEnPoo https://t.co/SSGGPKPP4W,"New York, NY",
3,Faeyas,Tue Aug 06 22:50:20 +0000 2019,RT @NBCNewsWorld: 2 United Airlines pilots were arrested in Scotland for drinking before taking control of the aircraft they were supposed…,"Denver, CO",
4,SherryFLRealtor,Tue Aug 06 22:46:53 +0000 2019,"RT @CNTraveler: Ever work the system for cheaper, hidden-city tickets? You could be in for a rude awakening. 😬  https://t.co/ueGHN3CH3c","DeLand, Ormond, Daytona Beach, Port Orange, Ponce Inlet",
5,KarmCamb,Tue Aug 06 22:36:00 +0000 2019,United Airlines (Mainline) flight attendants uniforms looks like West Catholic High Schools😩,,
6,M00NCHlLDD,Tue Aug 06 22:35:30 +0000 2019,"RT @aldrinosandres: Exactly 56 years ago, the country woke up to the tragic news that a United Arab Airlines plane carrying Filipino Boy Sc…",personal and fanaccount,
7,hooliegirls,Tue Aug 06 22:15:58 +0000 2019,"Yes, Venezuela is a safer place to be. United airlines, shown here does not have any flights there.  I think Americ… https://t.co/7uwjd7qz5W","Larkspur, CO",
8,marijuhannah__,Tue Aug 06 22:14:30 +0000 2019,RT @georgiesmoore: Oh and I can’t wait to take this big ass complaint to United Airlines https://t.co/rFuryXy5JE,,
9,unimike958,Tue Aug 06 22:13:30 +0000 2019,@david_kapsner Or keeping up with Los Angeles Coliseum of United Airlines? 😂,"California, USA",
10,RuthSagan3,Tue Aug 06 21:05:21 +0000 2019,RT @ABCWorldNews: One of the two United Airlines pilots arrested for suspected intoxication just before his flight departed appeared in cou…,Toledo Ohio ,
11,travelersleague,Tue Aug 06 21:04:25 +0000 2019,"RT CNTraveler ""Ever work the system for cheaper, hidden-city tickets? You could be in for a rude awakening. 😬  https://t.co/FTW6uleQ5T""",,
12,mikhilrs,Tue Aug 06 20:56:54 +0000 2019,Here we go again! Expect @united and @AirCanada to cancel the planned resumption’s of their service! Inconvenience… https://t.co/KB2NaJD5JB,,
13,siminuteman1776,Tue Aug 06 20:40:21 +0000 2019,"United Airlines pilot charged in Scotland with failing alcohol test before New Jersey-bound flight

https://t.co/HKUfSIMwqq",Southern California,
14,kinjeketile,Tue Aug 06 20:38:59 +0000 2019,"RT @Marketplace: United Airlines is expanding its fleet by buying used planes. It turns out, buying a gently used plane can be a better dea…","Nairobi, Kenya.",
15,MissJazzDuncan,Tue Aug 06 20:36:52 +0000 2019,"RT @SecretFlying: United Airlines is cracking down on hidden-city ticketing.

https://t.co/HBomldG1P5 https://t.co/ipNbUwBbOI","Phoenix, AZ",
16,rachellbellex,Tue Aug 06 19:04:43 +0000 2019,RT @876pilot: Young men in their 20s from Jamaica living the dream. One from Portland and the other from St. Mary. One flying for Delta the…,Soflo📍,
