,user,date,text,location,coordinates
0,mattsinger,Tue Jul 09 15:01:01 +0000 2019,Nobody knows classic cinema like United Airlines. https://t.co/rfg1iG7EZo,"Brooklyn, NY",
1,ABC,Wed Jul 03 08:06:22 +0000 2019,United Airlines apologizes after accidentally placing unaccompanied 14-year-old on flight to wrong country. https://t.co/hfgQ9A6muh,New York City / Worldwide,
2,JenKirkman,Fri Jul 05 21:50:30 +0000 2019,I’m so old I remember in 1812 when United Airlines was called 13 Colony Air.,"Los Angeles, New York City",
3,ICryForJonas,Tue Jul 09 23:57:23 +0000 2019,"RT @united: That feeling when the stroopwafel is back, all day and all night. https://t.co/XeFKLz7RwW https://t.co/IOXlxW2GSx",Everywhere,
4,Anyrubik,Tue Jul 09 23:56:33 +0000 2019,@Newsweek Fuck the man!! Beside airlines they almost charge you for breathable air... as if... @united is the worse… https://t.co/epubcXbMCV,In your face,
5,LynnFerris10,Tue Jul 09 23:54:45 +0000 2019,"So after trying to be patient with @united for my flight last month that was delayed to and from the UK, I was told… https://t.co/hAZ0MyVjpT",,
6,MarieDo15865008,Tue Jul 09 23:54:24 +0000 2019,RT @RealMikeWilbon: Seems United Airlines would prefer to lie to passengers than engage in the truth...All the airlines have moments that i…,"Kent, OH",
7,WildWeasel7830,Tue Jul 09 23:54:06 +0000 2019,Loved RTX. Not a fan of the trip home. Four hours turned into..11-12 hours thanks in no small part to the brilliant… https://t.co/ul76cbtzzL,,
8,SheilaB92969608,Tue Jul 09 23:47:55 +0000 2019,"RT @DublinAirport: If you entered to win flights for 2 with @united Airlines to New York stay tuned, we'll be announcing the winner very sh…","Corona, CA",
9,Chasemmullins,Tue Jul 09 23:46:51 +0000 2019,@FlyAirNZ stop forcing your customers to fly with @united airlines!!! End your partnership with this GARBAGE airlin… https://t.co/PzkbrThUgF,,
10,psushannon,Tue Jul 09 23:46:39 +0000 2019,"RT @united: That feeling when the stroopwafel is back, all day and all night. https://t.co/XeFKLz7RwW https://t.co/IOXlxW2GSx",,
11,BillFloresBot,Tue Jul 09 23:33:12 +0000 2019,"On 2019-02-20, @RepBillFlores (R-Waco)'s' ""Bill Flores For Congress"" reported a $733.8 expenditure to ""United Airli… https://t.co/7Ogsl8opG3",,
12,kaismagazine,Tue Jul 09 23:24:10 +0000 2019,American Airlines and United Airlines will not rush to respond to the international main cabin service gauntlet dar… https://t.co/PjYLY1v2Qx,https://goo.gl/maps/3SVJ2rw4LJD2,
13,JohnPTharp,Tue Jul 09 23:18:18 +0000 2019,"Pilot arrests 'God' aboard Delta flight, returns to Puerto Rico

American Airlines &amp; United Airlines announce $75 D… https://t.co/3O7D1nlZT6",Texas,
14,JustinPerpich,Tue Jul 09 23:15:20 +0000 2019,@kpottermn I figured as much. I usually fly out of DLH and now have 3 options but American and United fly into ORD… https://t.co/zjtKJ9rLNg,"Hotdish City/Duluth, MN",
15,wcbs880,Tue Jul 09 23:10:00 +0000 2019,United Airlines has issued a formal apology after an agent put a 14-year-old boy on a flight to Germany https://t.co/8DTkQtZK6i,"New York, NY",
16,WaleedKBasyouni,Tue Jul 09 23:05:34 +0000 2019,@united airlines all bags arrived at Sydney Airport from Houston are the one without priority tags 🤔 I guess they a… https://t.co/cAqxUo8ab7,USA,
17,chicagoedgehub,Tue Jul 09 23:03:13 +0000 2019,RT @ChiBizJournal: The Chicago-based carrier is flying many more routes this summer as connectivity becomes a priority. https://t.co/CvE0t2…,"Chicago, IL",
18,MarianMme16513,Tue Jul 09 23:01:20 +0000 2019,"RT @Bob_Mondello: If you think you're seeing Spider-Man everywhere, you are. He's on your pizza box, your snacks, your cereal, if you fly U…",Quad Cities        ,
19,mitsuki_a350xwb,Tue Jul 09 22:49:28 +0000 2019,"UNITED AIRLINES
B777-322ER  N2645U
2019.07.09  NRT

#ユナイテッド航空
#成田空港 https://t.co/6x91WEmA11",日本 兵庫,
20,sherpeace,Tue Jul 09 22:49:21 +0000 2019,Good luck. I'm pretty sure American is owned by United. And United is buying up all the small airlines. We're getti… https://t.co/URpQeMjplm,"Chula Vista, CA",
21,Bob_Mondello,Tue Jul 09 22:41:49 +0000 2019,"If you think you're seeing Spider-Man everywhere, you are. He's on your pizza box, your snacks, your cereal, if you… https://t.co/y83KHZlqAa",washington dc,
22,scotchbonnetbby,Tue Jul 09 22:41:37 +0000 2019,TLDR;  @united airlines is absolute trash. Their workers are disrespectful and negligent. Their website/ app is nei… https://t.co/AsaG57Lhgs,,
23,scotchbonnetbby,Tue Jul 09 22:41:33 +0000 2019,I’m not one to complain on the internet but I’m about to go in on @united airlines. As a person who travels frequen… https://t.co/BLKlInx7Hg,,
24,aerocrewsol,Tue Jul 09 22:23:30 +0000 2019,"SkyWest gives pilots one more reason to join their ranks:
https://t.co/pCFvASR3Qk","Atlanta, GA",
25,sahara1977513,Tue Jul 09 22:16:12 +0000 2019,"RT @united: That feeling when the stroopwafel is back, all day and all night. https://t.co/XeFKLz7RwW https://t.co/IOXlxW2GSx","Cincinnati, OH",
26,DJFlashpoint,Tue Jul 09 22:10:52 +0000 2019,"@VitalVegas @summacorp Back then United Airlines used a space at McCarran for plane storage, you can see them top right 👍","Las Vegas, NV",
27,dashiellsilva,Tue Jul 09 22:08:46 +0000 2019,RT @mattsinger: Nobody knows classic cinema like United Airlines. https://t.co/rfg1iG7EZo,"London, for now...",
28,adamlubitow,Tue Jul 09 22:07:15 +0000 2019,RT @mattsinger: Nobody knows classic cinema like United Airlines. https://t.co/rfg1iG7EZo,"Rochester, NY",
29,earth2devon,Tue Jul 09 22:03:12 +0000 2019,United Airlines gave me a 200$ gift certificate for complaining... I’ve reached peak speak to the manager status,bould-air,
30,TheFinalDayze,Tue Jul 09 22:02:41 +0000 2019,"RT @UHLocal24: Media Advisory: Detroit Airline Catering Workers Serving Delta, American &amp; United Airlines to Hold Informational Picket at D…",NYC,
31,EINAirlineNews,Tue Jul 09 22:00:18 +0000 2019,Bring on stroopwafels! United Airlines customers offered… https://t.co/r1sCqfxX7P,"Washington, D.C.",
32,StephenGatlin,Tue Jul 09 21:49:23 +0000 2019,"RT @NGPA2: Thanks to United Airlines we are offering:
- 2,  $6,000 Flight Training Scholarships
- 2. $5,000 Tech Ops Scholarships

Learn mo…","Orlando, FL",
33,Tree30814833,Tue Jul 09 21:40:08 +0000 2019,"RT @united: That feeling when the stroopwafel is back, all day and all night. https://t.co/XeFKLz7RwW https://t.co/IOXlxW2GSx","Philadelphia, PA",
34,janiesay,Tue Jul 09 21:39:11 +0000 2019,"locked and loaded #logos I can think of in this moment - Kubota, Amtrak, UPS, USPS, United Airlines, Burger King (t… https://t.co/ADd8xpxy8Q","Volusia County, Florida",
35,AsianAdidasGirl,Tue Jul 09 21:38:38 +0000 2019,"Last @TurkishAirlines meal indefinitely! 😣 I chose the chicken, &amp; it was delicious - better than some restaurants.… https://t.co/dIvoJWYIcq",Houston,
36,Sunny2141980,Tue Jul 09 21:38:37 +0000 2019,"RT @WolffintheWild: In honor of @tomhanks 's birthday. Always remember to NEVER TRAVEL with this man anywhere. 
Dude literally got 
1. stra…",North Carolina ,
37,uramazingofGod,Tue Jul 09 21:38:23 +0000 2019,"RT @united: That feeling when the stroopwafel is back, all day and all night. https://t.co/XeFKLz7RwW https://t.co/IOXlxW2GSx",United States,
38,Gambiste1,Tue Jul 09 21:35:53 +0000 2019,"RT @ChineseFNEnglsh: $UAL - United Airlines To Report Solid Quarter, Despite MAX Issues https://t.co/UC0mqrMgfs https://t.co/UC0mqrMgfs",,
39,rbrtwillis,Tue Jul 09 21:32:27 +0000 2019,"#fiji2019 (at @United Airlines Check-in in Los Angeles, CA) https://t.co/8HV8yCEBmp",Northwest Suburb of Philly,"{'type': 'Point', 'coordinates': [-118.39972258, 33.94275471]}"
40,AtlBizChron,Tue Jul 09 21:31:28 +0000 2019,American Airlines and United Airlines will not rush to respond to the international main cabin service gauntlet dar… https://t.co/E6bcd5UjbE,"Atlanta, Georgia",
