,user,date,text,location,coordinates
0,SecretFlying,Tue Jul 02 14:15:28 +0000 2019,"United Airlines put unaccompanied minor on a plane to the wrong country.

https://t.co/m2hSbHg83s https://t.co/NoaHqahbbs",,
1,CNNBusiness,Tue Jul 02 15:05:04 +0000 2019,"Unlike American Airlines, United and Southwest, Delta Air Lines was not forced to cancel flights in the quarter due… https://t.co/KqKQoP1a81",Global,
2,FoxFriendsFirst,Tue Jul 02 17:00:01 +0000 2019,A mother is slamming United Airlines after the company put her unaccompanied child on a flight to the wrong country! https://t.co/Eb3SlXA8g9,"New York, NY",
3,SivasliUsta,Tue Jul 02 23:59:43 +0000 2019,"RT @spectatorindex: Best airline lounges for business class, 2018. 

1. Turkish Airlines
2. Qatar Airways
3. Virgin Atlantic
4. Qantas Airw…",,
4,wmbfnews,Tue Jul 02 23:59:02 +0000 2019,United Airlines puts North Carolina boy on wrong international flight &gt;&gt; https://t.co/JBct6MmaoV https://t.co/MTI74t1uNy,"Myrtle Beach, SC",
5,Michaelkelly707,Tue Jul 02 23:56:54 +0000 2019,"Mom furious with United Airlines after boy is placed on wrong international flight: 'Cosmic failure'

https://t.co/JrE4BOJQPT","Dublin, Ireland",
6,ZionTechGroup2,Tue Jul 02 23:46:18 +0000 2019,New post (United Airlines Global First Class (LHR-EWR)) has been published on Zion Tech Group Blog - https://t.co/znbLmMZxI0,,
7,OyunBitecek,Tue Jul 02 23:45:54 +0000 2019,"RT @spectatorindex: Best airline lounges for business class, 2018. 

1. Turkish Airlines
2. Qatar Airways
3. Virgin Atlantic
4. Qantas Airw…",,
8,WesternPAJon,Tue Jul 02 23:45:49 +0000 2019,"RT @Camellia_Alexan: A list of major corporations that are funding Planned Parenthood:

Adobe
Microsoft
PayPal
Pepsi
Starbucks
Shell
United…",USA ,
9,ky9tal9,Tue Jul 02 23:45:40 +0000 2019,RT @bruce_y_lee: @dr_uche_bee @DrMaraK @tisharowemd @Surgeon4aCure @AmericanAir Maybe the airline instead should focus on providing more ro…,,
10,guzel__ceren,Tue Jul 02 23:44:07 +0000 2019,"RT @spectatorindex: Best airline lounges for business class, 2018. 

1. Turkish Airlines
2. Qatar Airways
3. Virgin Atlantic
4. Qantas Airw…",Türkiye,
11,GeoMeek,Tue Jul 02 23:43:02 +0000 2019,"RT @synnovehelgerud: United Airlines put an underage passenger on a plane to the wrong country, prompting an all-night ordeal between a pan…",Find this in Second Life,
12,DavidRDHeath,Tue Jul 02 23:41:20 +0000 2019,Aviation inaccuracies in period dramas I’m used to but seeing a United battleship gray livery on an A319 in 1982 on… https://t.co/4ZFzFy3Vw1,Sydney Australia,
13,thejedgentry,Tue Jul 02 23:40:33 +0000 2019,"Nobody:
United Airlines customers: https://t.co/6DViZhFGAe",,
14,Kayos_travels,Tue Jul 02 23:38:24 +0000 2019,"RT @AvGeekJames: #NEWS

United Doubles Flights Between San Francisco And Hong Kong

Read more here: https://t.co/95QlLuPnYc

#AvGeek

@airw…","England, United Kingdom",
15,WRDW_WAGT,Tue Jul 02 23:36:33 +0000 2019,United Airlines puts boy on wrong international flight https://t.co/iLHyKP68ZJ,"Augusta, GA",
16,dfwtower,Tue Jul 02 23:36:00 +0000 2019,"Photo of N29907, a @United Boeing 787-8 landing at #London #Heathrow on June 17. #airlines https://t.co/T3yDRRVYEX",DFW,
17,viivvyyy,Tue Jul 02 23:35:41 +0000 2019,"United Airlines Basic Economy = Frontier Airlines

American Airlines Basic Economy = United Airlines First Class","Boulder, CO",
18,Maggiehabeica,Tue Jul 02 23:34:18 +0000 2019,"RT @1NewsNZ: United Airlines put teen son on wrong international flight says mum
https://t.co/s37RUwCbLL https://t.co/QzY4fMvXUw",,
19,AviationHeds,Tue Jul 02 23:29:03 +0000 2019,Bridgeport (WV) WDTV:  United Airlines puts boy on wrong international flight . More #Aviation #news - https://t.co/2JQoL0D6jY,USA,
20,CalifQuail1969,Tue Jul 02 23:22:18 +0000 2019,"RT @HalftimeReport: Top stocks to watch from the Desk:

“We’d buy it right here” - @Karen_Firestone on Boston Scientific $BSX
“Bought calls…",United States of America,
21,charlesfhanna,Tue Jul 02 23:22:17 +0000 2019,I make no apologies for my allegence to United Airlines but this is pretty bad. https://t.co/omNGp1qsl1,CLE/SRQ/LHR,
22,NavyCaptRet63XX,Tue Jul 02 23:20:50 +0000 2019,@SecretFlying @tbell1968 That would be a really bad day for United Airlines and probably me too.,"Honolulu, HI",
23,AndrewTAviation,Tue Jul 02 23:19:19 +0000 2019,"Mom: ""What is this...?'
Airline: "" UM ....."" https://t.co/C5eFzbsjri",,
24,ihmzx10,Tue Jul 02 23:18:02 +0000 2019,"RT @spectatorindex: Best airline lounges for business class, 2018. 

1. Turkish Airlines
2. Qatar Airways
3. Virgin Atlantic
4. Qantas Airw…",Muhammed'i...!,
25,synnovehelgerud,Tue Jul 02 23:17:09 +0000 2019,"United Airlines put an underage passenger on a plane to the wrong country, prompting an all-night ordeal between a… https://t.co/mvpU3vAqYI",northern Minnesota,
26,airlinerart,Tue Jul 02 23:15:20 +0000 2019,"United Airlines Boeing 787-822 Dreamliner N20904 Airliner Profile Art Print.
https://t.co/6qywMTfmkX","London, United Kingdom",
27,tbell1968,Tue Jul 02 23:14:26 +0000 2019,"RT @SecretFlying: United Airlines put unaccompanied minor on a plane to the wrong country.

https://t.co/m2hSbHg83s https://t.co/NoaHqahbbs",Dallas,
28,BrendaBerg,Tue Jul 02 23:13:31 +0000 2019,@DivaMDGarrett @united You are exactly who I think about with the UM program. It needs to be doable for children wh… https://t.co/XMB6N2RHlK,"Raleigh, NC",
29,psaper,Tue Jul 02 23:13:01 +0000 2019,@united about to lose my #unitedclub membership when they start restricting access when I fly other airlines. When… https://t.co/KjBskJiAp3,"Austin, TX",
30,AydeMavy,Tue Jul 02 23:12:59 +0000 2019,"Airline staff put boy, 14, on flight to wrong country https://t.co/0UgyEM2iqX vía @Y7News",México,
31,BalamirBeg,Tue Jul 02 23:10:57 +0000 2019,"RT @spectatorindex: Best airline lounges for business class, 2018. 

1. Turkish Airlines
2. Qatar Airways
3. Virgin Atlantic
4. Qantas Airw…",,
32,ptorem,Tue Jul 02 23:10:12 +0000 2019,"United Airlines put an underage passenger on a plane to the wrong country, prompting a panicked mother to beg the a… https://t.co/27sSCVJKqZ",sun valley,
33,P_F_Lherisson_,Tue Jul 02 23:07:22 +0000 2019,🛑Whoops! United Airlines Mistakenly Escorts Minor Onto Flight to Wrong Country  https://t.co/c2FWiYxfoB,"New York, USA",
34,aHEMandias,Tue Jul 02 23:03:08 +0000 2019,RT @SputnikInt: Whoops! .@united mistakenly escorts minor onto flight to wrong country https://t.co/nJEYRweGTl #UnitedAirlines,"Tenderloin, San Francisco",
35,GODZLLA4,Tue Jul 02 23:02:46 +0000 2019,"RT @spectatorindex: Best airline lounges for business class, 2018. 

1. Turkish Airlines
2. Qatar Airways
3. Virgin Atlantic
4. Qantas Airw…",Spanien,
36,woodsmall_jenna,Tue Jul 02 23:02:28 +0000 2019,"me:
everyone on my united airlines flight:
the pilot: aight put ya'll seatbelts we descending sksksk",,
37,DeseretNews,Tue Jul 02 23:00:00 +0000 2019,".@united Airlines accidentally put an underage passenger on the wrong flight, prompting concern from the boy’s moth… https://t.co/JbRMZaT2RK","Salt Lake City, UT",
38,helen_it,Tue Jul 02 22:59:53 +0000 2019,"Hmm. 19 years old and was freaked out that she couldn't get from Seattle to Portland (it's 4 hours by train, 3 by c… https://t.co/Ia9SKhX9m1",Wisconsin,
39,PazyUni0n,Tue Jul 02 22:59:06 +0000 2019,RT @SputnikInt: Whoops! .@united mistakenly escorts minor onto flight to wrong country https://t.co/nJEYRweGTl #UnitedAirlines,VENEZUELA,
40,StoryYaoyorozu,Tue Jul 02 22:56:11 +0000 2019,RT @SputnikInt: Whoops! .@united mistakenly escorts minor onto flight to wrong country https://t.co/nJEYRweGTl #UnitedAirlines,竹薮の中,
41,ferozwala,Tue Jul 02 22:55:38 +0000 2019,Whoops! .@united mistakenly escorts minor onto flight to wrong country https://t.co/lX3992mgpj  #UnitedAirlines -… https://t.co/XWu9aKLzOA,E,
42,RowlandViki,Tue Jul 02 22:54:51 +0000 2019,RT @SputnikInt: Whoops! .@united mistakenly escorts minor onto flight to wrong country https://t.co/nJEYRweGTl #UnitedAirlines,,
43,KarenZAnderson,Tue Jul 02 22:53:42 +0000 2019,#LetecitiaSandoval wonderful United airlines representative who handled things very professionally. She is the greatest! Give her a raise!,,
44,781Moksha2011,Tue Jul 02 22:53:29 +0000 2019,RT @SputnikInt: Whoops! .@united mistakenly escorts minor onto flight to wrong country https://t.co/nJEYRweGTl #UnitedAirlines,,
45,SputnikInt,Tue Jul 02 22:51:59 +0000 2019,Whoops! .@united mistakenly escorts minor onto flight to wrong country https://t.co/nJEYRweGTl #UnitedAirlines,,
46,RickGuerrero671,Tue Jul 02 22:49:02 +0000 2019,"RT @Camellia_Alexan: A list of major corporations that are funding Planned Parenthood:

Adobe
Microsoft
PayPal
Pepsi
Starbucks
Shell
United…",Guam USA,
47,emwalk8,Tue Jul 02 22:47:16 +0000 2019,I hate united airlines. We are delayed literally all the time and given no information. Ridiculous,,
48,sarah_crenshaw,Tue Jul 02 22:46:50 +0000 2019,"Genuinely wondering as someone who used unaccompanied minor services when I was young (granted, that was many years… https://t.co/57uTV20s0X",Jacksonville FL,
49,Alexis_Neuman18,Tue Jul 02 22:45:25 +0000 2019,"RT @lyssmarie123: The fact that United Airlines, an airline that allows military members to have free bags while traveling; did not allow m…",,
50,NBC12,Tue Jul 02 22:44:06 +0000 2019,United Airlines puts boy on wrong international flight https://t.co/k6nAeCD0tR,"Richmond, VA",
51,dsignal10,Tue Jul 02 22:31:51 +0000 2019,"OMG, how can they do this? https://t.co/IcjMVDBlds",,
52,exhaustartist,Tue Jul 02 22:31:13 +0000 2019,"RT @Camellia_Alexan: A list of major corporations that are funding Planned Parenthood:

Adobe
Microsoft
PayPal
Pepsi
Starbucks
Shell
United…","Florida, USA",
53,dinasaurus9,Tue Jul 02 22:30:29 +0000 2019,Fuck United Airlines.,"New York, USA",
54,23WIFR,Tue Jul 02 22:30:02 +0000 2019,"A 14-year-old was flying on his own to visit grandparents in Sweden, but he almost ended up in Germany instead. https://t.co/swWAr959bQ","Rockford, IL",
55,Outli3rThe,Tue Jul 02 22:27:44 +0000 2019,Whoops! United Airlines Mistakenly Escorts Minor Onto Flight to Wrong Country https://t.co/E12UksslVS https://t.co/VISXqLWN2a,,
56,XinDeeUhh,Tue Jul 02 22:27:12 +0000 2019,"@Kev_illmatic I honestly don’t even know what airlines it was but I wouldn’t be surprised if it was United 😭, he wa… https://t.co/zB3n5d6FSy",ig - @_cincityyy,
57,sofiabcas0,Tue Jul 02 22:24:33 +0000 2019,holy FUCK united airlines can die!!!1!,nola || cdmx,
58,wealthprepared,Tue Jul 02 22:24:16 +0000 2019,Catching z's on a long flight? These US airlines provide amenity kits to help flyers relax  https://t.co/2M3Hgaho3K,,
59,tahoebearrr,Tue Jul 02 22:23:12 +0000 2019,"For your consideration

American Airlines but not United
American Express &amp; Master Card but not Visa
ATT &amp; T-mobile… https://t.co/hCicQg1WUu",Lake Tahoe CA/NV,
60,waff48,Tue Jul 02 22:20:03 +0000 2019,United Airlines puts boy on wrong international flight https://t.co/9Wrh3XRVLn,"Huntsville, AL",
61,ZippyBSN_RN,Tue Jul 02 22:18:34 +0000 2019,"RT @Camellia_Alexan: A list of major corporations that are funding Planned Parenthood:

Adobe
Microsoft
PayPal
Pepsi
Starbucks
Shell
United…",,
62,sweltman,Tue Jul 02 22:12:12 +0000 2019,Fly the sweaty skies; Untied Airlines. @United.,"Torrance, CA",
63,hup333,Tue Jul 02 22:11:44 +0000 2019,United Airlines puts unaccompanied minor on a Eurowings flight to Germany instead of a SAS flight to Sweden -… https://t.co/hnpIlrEVaz,,
64,TexFoodie,Tue Jul 02 22:10:07 +0000 2019,"RT @Camellia_Alexan: A list of major corporations that are funding Planned Parenthood:

Adobe
Microsoft
PayPal
Pepsi
Starbucks
Shell
United…",Texas ,
65,RobertBelfi,Tue Jul 02 22:09:44 +0000 2019,"RT @Camellia_Alexan: A list of major corporations that are funding Planned Parenthood:

Adobe
Microsoft
PayPal
Pepsi
Starbucks
Shell
United…","Orlando, FL",
66,32pjgPdO9OGaxXO,Tue Jul 02 22:09:24 +0000 2019,⁦@united⁩ Doesn’t Seem To Be Able To Do The Basics In Airline Basics https://t.co/QhDT9q6VLC,,
67,LLC_1988,Tue Jul 02 22:08:51 +0000 2019,"RT @Camellia_Alexan: A list of major corporations that are funding Planned Parenthood:

Adobe
Microsoft
PayPal
Pepsi
Starbucks
Shell
United…",United States,
68,212NY,Tue Jul 02 22:06:27 +0000 2019,Hey @united are Spiderman amenity kits only on international flights? That's some kind of wrong. He's from NYC you… https://t.co/EHvYDEPn9b,NYC,
69,Eves_Paradise,Tue Jul 02 22:06:23 +0000 2019,"RT @Camellia_Alexan: A list of major corporations that are funding Planned Parenthood:

Adobe
Microsoft
PayPal
Pepsi
Starbucks
Shell
United…",Florida,
70,AndyVermaut,Tue Jul 02 22:06:09 +0000 2019,Whoops! United Airlines Mistakenly Escorts Minor Onto Flight to Wrong Country https://t.co/SjD9iHrf2e https://t.co/3zo5R4Plqc,One world,
71,fromNickOrtiz,Tue Jul 02 22:05:52 +0000 2019,"RT @Camellia_Alexan: A list of major corporations that are funding Planned Parenthood:

Adobe
Microsoft
PayPal
Pepsi
Starbucks
Shell
United…","California, USA",
72,mlnangalama,Tue Jul 02 22:04:07 +0000 2019,via @PerilofAfrica  Whoops! United Airlines Mistakenly Escorts Minor Onto Flight to Wrong Country… https://t.co/Br5BURUCcd,"New Brunswick, Canada",
73,WTVM,Tue Jul 02 22:04:00 +0000 2019,He was on the runway when he texted his parents ‘There are a lot of people speaking German on this flight. That's k… https://t.co/G7OFWAVqTm,"Columbus, GA",
74,WXTX54,Tue Jul 02 22:04:00 +0000 2019,He was on the runway when he texted his parents ‘There are a lot of people speaking German on this flight. That's k… https://t.co/Bq3ULK2Ymw,Columbus GA,
75,ckkoch3,Tue Jul 02 22:03:52 +0000 2019,"RT @cath11cc: You see an ant-infested plane, the airline sees a Public Relations problem. Reminds me of my problems with that dear airline.…","Vancouver, WA",
76,thro_e,Tue Jul 02 22:01:57 +0000 2019,"RT @Camellia_Alexan: A list of major corporations that are funding Planned Parenthood:

Adobe
Microsoft
PayPal
Pepsi
Starbucks
Shell
United…",✝️Saved By Grace,
77,cath11cc,Tue Jul 02 22:01:56 +0000 2019,"You see an ant-infested plane, the airline sees a Public Relations problem. Reminds me of my problems with that dea… https://t.co/xni7FwR6wV",Raleigh NC,
78,jenkers_en,Tue Jul 02 22:00:49 +0000 2019,#United Airlines Nearly Gave Teen The 'Home Alone 2' Treatment With The Wrong International Flight https://t.co/0v7PZcCTpG,San Francisco,
79,CAPA_Aviation,Tue Jul 02 22:00:26 +0000 2019,"Women are still greatly under-represented in top management at most large US airlines, but positive steps are being… https://t.co/HJ73CoQEcC",Worldwide,
80,WFXGFOX54,Tue Jul 02 22:00:11 +0000 2019,He was on the runway when he texted his parents ‘There are a lot of people speaking German on this flight. That's k… https://t.co/XvP8hvX76v,"Augusta, GA",
81,tintimmymustach,Tue Jul 02 21:48:58 +0000 2019,"RT @Camellia_Alexan: A list of major corporations that are funding Planned Parenthood:

Adobe
Microsoft
PayPal
Pepsi
Starbucks
Shell
United…",,
82,PlascenciaBeas,Tue Jul 02 21:48:00 +0000 2019,"RT @CNNBusiness: Unlike American Airlines, United and Southwest, Delta Air Lines was not forced to cancel flights in the quarter due to the…",,
83,rakeshlobster,Tue Jul 02 21:47:35 +0000 2019,Which airlines track which pax are in their lounges to make announcements for those pax they would otherwise paged… https://t.co/whbP6vAekc,NY - SF - Elsewhere,
84,RockCheetah,Tue Jul 02 21:47:10 +0000 2019,United Is Letting Passengers Take Their Pick of 3 Free Snacks on Flights https://t.co/BeGL8Emtt3 #pubs https://t.co/GHx44YBCm5,"Irving, TX",
85,becasilverstein,Tue Jul 02 21:41:38 +0000 2019,"RT @Camellia_Alexan: A list of major corporations that are funding Planned Parenthood:

Adobe
Microsoft
PayPal
Pepsi
Starbucks
Shell
United…",South East Asia,
86,Minktea1,Tue Jul 02 21:38:17 +0000 2019,Am reminded of why I haven't flown on @united for more than a decade. I can't pre-check into my flight because I do… https://t.co/eTCafDI024,Hollywood,
87,Frees_2018,Tue Jul 02 21:35:39 +0000 2019,VIRGIN MEGASTORE WORLD MUSIC SPECIALIST July 2nd 2019 Jennifer Alexis Frees UNITED AIRLINES &amp; STAR ALLIANCE Interna… https://t.co/GVaniSrr9P,"(resident artist in the praise & prayer room at ) 3193 Anador Street, North Port, Sarasota County, Florida 34287 USA",
88,mlstowe,Tue Jul 02 21:32:01 +0000 2019,"traveling to Portland, Oregon from Newark International Airport Terminal C- United Airlines https://t.co/prvFwQgOKE","portland, oregon",
89,Frees_2018,Tue Jul 02 21:29:49 +0000 2019,July 2nd 2019 Jennifer Alexis Frees UNITED AIRLINES &amp; STAR ALLIANCE International and Domestic Purser Qualified pro… https://t.co/kuAu3Sys7l,"(resident artist in the praise & prayer room at ) 3193 Anador Street, North Port, Sarasota County, Florida 34287 USA",
