,user,date,text,location,coordinates
0,ABC,Wed Jul 03 17:33:01 +0000 2019,United Airlines apologizes after accidentally placing unaccompanied 14-year-old on flight to wrong country. https://t.co/WJp3kqlofk,New York City / Worldwide,
1,CNN,Thu Jul 04 12:18:06 +0000 2019,"14-year-old Anton Berg thought he was traveling to Sweden, only to find himself on a plane headed to Germany… https://t.co/rDzqdXIrJO",,
2,TIME,Wed Jul 03 17:30:01 +0000 2019,United Airlines apologizes after putting unaccompanied minor on wrong international flight https://t.co/gh4D4Y9hpM,,
3,JessicaTalber13,Thu Jul 04 23:58:20 +0000 2019,"RT @CNN: 14-year-old Anton Berg thought he was traveling to Sweden, only to find himself on a plane headed to Germany https://t.co/Lcp2V5Fd…","Dallas, TX",
4,JessicaTalber13,Thu Jul 04 23:57:49 +0000 2019,"RT @CNN: 14-year-old Anton Berg thought he was traveling to Sweden, only to find himself on a plane headed to Germany https://t.co/0EaYFcfh…","Dallas, TX",
5,DecoyOstrich,Thu Jul 04 23:55:22 +0000 2019,"RT @united: That feeling when the stroopwafel is back, all day and all night. https://t.co/XeFKLz7RwW https://t.co/IOXlxW2GSx","Wyoming, USA",
6,straitarrow10,Thu Jul 04 23:33:26 +0000 2019,"RT @united: That feeling when the stroopwafel is back, all day and all night. https://t.co/XeFKLz7RwW https://t.co/IOXlxW2GSx","Shelton, WA",
7,SusaMorgan,Thu Jul 04 23:28:27 +0000 2019,"@KUOW ""The European Union has implemented some carbon rules for aircraft, but in the United States, the Trump admin… https://t.co/wBDkRRak8d",,
8,NinPlay307,Thu Jul 04 23:27:38 +0000 2019,"RT @united: That feeling when the stroopwafel is back, all day and all night. https://t.co/XeFKLz7RwW https://t.co/IOXlxW2GSx","Riverside, CA",
9,FlyingsNet,Thu Jul 04 23:23:22 +0000 2019,"14-year-old boy assisted to wrong plane by United

Mistakes happen. But United Airlines now has troubles because of… https://t.co/MrLLEvzgFM",,
10,Osmanyagmur,Thu Jul 04 23:20:42 +0000 2019,"RT @spectatorindex: Best airline lounges for business class, 2018. 

1. Turkish Airlines
2. Qatar Airways
3. Virgin Atlantic
4. Qantas Airw…",,
11,kailssuxwithanx,Thu Jul 04 23:19:53 +0000 2019,"RT @united: That feeling when the stroopwafel is back, all day and all night. https://t.co/XeFKLz7RwW https://t.co/IOXlxW2GSx",tik tok influencer,
12,MyAir_Travel,Thu Jul 04 23:11:16 +0000 2019,Travel to Tokyo by Dialing United Airlines Reservations Number https://t.co/HiND9HJMAP,United States,
13,FT1965,Thu Jul 04 23:11:07 +0000 2019,@ddale8 Fly the friendly skies of United AIRLINES.,,
14,JanesFriend2,Thu Jul 04 23:08:38 +0000 2019,"RT @united: That feeling when the stroopwafel is back, all day and all night. https://t.co/XeFKLz7RwW https://t.co/IOXlxW2GSx","Texas, USA",
15,thisismetis,Thu Jul 04 23:00:13 +0000 2019,NEW VIDEO: Bootcamp Grad Discusses Strong Chicago Market + Current Role at United Airlines: https://t.co/kHom87HTHd https://t.co/Xc7I1hMaS4,"NYC, SF, Chicago, Seattle, Singapore, Live Online",
