,user,date,text,location,coordinates
0,smino,Sun Jul 14 13:37:22 +0000 2019,United airlines da new Spirit .,314,
1,NPR,Mon Jul 15 22:43:04 +0000 2019,"American Airlines is pulling the Boeing 737 Max from its schedule through Nov. 2. 

And United Airlines will cancel… https://t.co/KNv8nchxaD",,
2,lacoliseum,Fri Jul 12 23:10:04 +0000 2019,"With the Scholarship Tower ribbon-cutting a little over a month away, and football season just around the corner, y… https://t.co/a9XwIBHLED",Los Angeles,
3,FlightIntl,Wed Jul 17 23:58:29 +0000 2019,United Airlines to add used Boeing 737-700s https://t.co/Fy9tcVg8Cn,Worldwide,
4,taisam10,Wed Jul 17 23:51:43 +0000 2019,"Stocks making the biggest moves premarket: Bank of America, United Airlines, Amazon, CSX &amp; more https://t.co/kEHKmXe0L7","Malacca, Malaysia",
5,rachelkfriend,Wed Jul 17 23:50:07 +0000 2019,The dad sitting next to me just said to his kid “Take you’re time eating. Welcome to United Airlines” 😂 2-hour delay and counting. #Ohare,"Boulder, CO",
6,CrowleyFdtn,Wed Jul 17 23:44:34 +0000 2019,"Students in grades 9-12! Camp is next week!

Academy Dates: July 22-26, 2019
Location: United Airlines Flight Train… https://t.co/mW07QU49xt",International ,
7,SAksiyote,Wed Jul 17 23:40:56 +0000 2019,"RT @theworldindex: Best Business Class Airline Lounges 2018:

1.🇹🇷 Turkish Airlines
2.🇶🇦 Qatar Airways
3.🇬🇧 Virgin Atlantic
4.🇦🇺 Qantas Air…",,
8,GStech,Wed Jul 17 23:37:32 +0000 2019,"Hey, @united how can we help you stay ahead of your competition? Other airlines are asking for our business. https://t.co/k3XAa8HPKz",Chicago,
9,gearsandgravel,Wed Jul 17 23:36:55 +0000 2019,"RT @angryasian: First it was @AmericanAir that eliminated special fees for flying with your bike, and now @Delta has followed suit, effecti…","San Francisco, CA",
10,iamdebramorgan,Wed Jul 17 23:35:32 +0000 2019,Sitting in Houston on runway awaiting even being accepted to deboard at an alternate ramp. UNITED AIRLINES COME ON!… https://t.co/SmIS6Wks8D,"Clearwater, FL",
11,NORXDHXM_,Wed Jul 17 23:35:11 +0000 2019,"RT @Aviationdailyy: Airlines that will avoid Iranian airspace:

- United Airlines
- Qantas
- KLM
- Lufthansa
Start from today 😬 https://t.c…",,
12,AirMiles5,Wed Jul 17 23:34:12 +0000 2019,#frequent flyer for all airlines #mileage system in airlines #united frequent flyer miles program #register frequen… https://t.co/KE8D57xGTG,,
13,leevorthman,Wed Jul 17 23:33:20 +0000 2019,"RT @angryasian: First it was @AmericanAir that eliminated special fees for flying with your bike, and now @Delta has followed suit, effecti…","Golden, CO",
14,mauryedwards,Wed Jul 17 23:32:30 +0000 2019,United is buying used planes to add capacity as the 737 Max remains grounded https://t.co/MKDKbB9nmS,Wichita KS,
15,coachkellim,Wed Jul 17 23:28:45 +0000 2019,"RT @angryasian: First it was @AmericanAir that eliminated special fees for flying with your bike, and now @Delta has followed suit, effecti…","Wallingford, CT",
16,tonylyle,Wed Jul 17 23:20:08 +0000 2019,United Airlines’ Quest for New Revenue Bucks Trend Toward Simplicity https://t.co/HspOQMMqh1 https://t.co/6csWXtPphO,,
17,Olderpreneurs,Wed Jul 17 23:20:02 +0000 2019,American Airlines and United Airlines Cancel More Boeing 737 MAX Flights https://t.co/KCuhKLNvr7 https://t.co/d5Qg4sYogS,Chicago,
18,Rodolfo69Saenz,Wed Jul 17 23:19:33 +0000 2019,United Airlines MileagePlus Voted Favorite Frequent-Flyer Program by Millennial Travelers https://t.co/5xmrga6GKs https://t.co/Vk1q1HXb5r,Guatemala,
19,Rodolfo69Saenz,Wed Jul 17 23:19:13 +0000 2019,United Airlines Achieves Highest Second-Quarter Pre-Tax Income In Company History https://t.co/17gcBwIZvH https://t.co/6lAa5uYHYY,Guatemala,
20,mattsingley,Wed Jul 17 23:18:53 +0000 2019,"RT @angryasian: First it was @AmericanAir that eliminated special fees for flying with your bike, and now @Delta has followed suit, effecti…",Los Angeles,
21,dcrainmakerblog,Wed Jul 17 23:16:39 +0000 2019,"RT @angryasian: First it was @AmericanAir that eliminated special fees for flying with your bike, and now @Delta has followed suit, effecti…","Once DC & Paris, now Amsterdam",
22,HisanoriUeda,Wed Jul 17 23:16:03 +0000 2019,"RT @angryasian: First it was @AmericanAir that eliminated special fees for flying with your bike, and now @Delta has followed suit, effecti…",,
23,jenniferemoore,Wed Jul 17 23:15:41 +0000 2019,RT @BigAppleInfidel: @NMalliotakis @NYCPBA @UFANYC @RandPaul @MikeLeeforUtah Fun Fact: United Airlines Flight 93 is widely believed to have…,"Bay Ridge, Brooklyn",
24,PrescottRossi,Wed Jul 17 23:15:20 +0000 2019,@johngibbonsblog @Kristian_Walsh What airlines are you guys flying? Wife and I flew United into O'Hare on our way t… https://t.co/FudFBsuTad,"Say, that's a swell map.",
25,TuckerSolutions,Wed Jul 17 23:15:04 +0000 2019,Boeing Max: United Airlines And American Airlines Extend Cancellations https://t.co/clhBlnZc9e,"Chicago, IL",
26,rbritt1969,Wed Jul 17 23:14:16 +0000 2019,@mdspwt @DanBilzerian @united Bullshit!!! United is the worst! I used to travel for a living and saw the difference… https://t.co/ozZmKxNHsn,,
27,hunnensturm,Wed Jul 17 23:09:26 +0000 2019,"RT @theworldindex: Best Business Class Airline Lounges 2018:

1.🇹🇷 Turkish Airlines
2.🇶🇦 Qatar Airways
3.🇬🇧 Virgin Atlantic
4.🇦🇺 Qantas Air…",,
28,singflytri,Wed Jul 17 23:04:31 +0000 2019,"RT @afa_cwa: There's no reason airlines need to wait to implement 10 Hours Minimum Rest themselves, but the industry has united in their me…",,
29,alexhung,Wed Jul 17 23:02:44 +0000 2019,"RT @angryasian: First it was @AmericanAir that eliminated special fees for flying with your bike, and now @Delta has followed suit, effecti…","Santa Cruz, CA",
30,Integrilicious,Wed Jul 17 23:01:08 +0000 2019,"RT @angryasian: First it was @AmericanAir that eliminated special fees for flying with your bike, and now @Delta has followed suit, effecti…",Hopefully on a bike,
31,azzuhrya,Wed Jul 17 22:58:39 +0000 2019,"RT @theworldindex: Best Business Class Airline Lounges 2018:

1.🇹🇷 Turkish Airlines
2.🇶🇦 Qatar Airways
3.🇬🇧 Virgin Atlantic
4.🇦🇺 Qantas Air…","Selangor, Malaysia",
32,compro_tax,Wed Jul 17 22:58:28 +0000 2019,United is buying used planes to add capacity as the 737 Max remains grounded - CNN https://t.co/fyWYDbr4gB via @GoogleNews,comprotaxbrooklyn@gmail,
33,MeliszahSez,Wed Jul 17 22:56:30 +0000 2019,"RT @CJHanselman: throughout the terminal. ""We have a passenger here at Gate 14 WHO DOES NOT KNOW WHO HE IS. If anyone can help him with his…","California City, California",
34,MeliszahSez,Wed Jul 17 22:56:15 +0000 2019,"RT @CJHanselman: This girl is a keeper!!!!
It happened at a New York Airport. This is hilarious. An award should go to the United Airlines…","California City, California",
35,angryasian,Wed Jul 17 22:55:16 +0000 2019,"First it was @AmericanAir that eliminated special fees for flying with your bike, and now @Delta has followed suit,… https://t.co/TXHpvlEkXl","Boulder, CO (most of the time)",
36,claimcompanies,Wed Jul 17 22:52:47 +0000 2019,RT @BHflyer5: I've been on 10 #flights in the last 30 days. Today is the 11th. All with @united and all #delayed. This flight is 1:15 delay…,,
37,BHflyer5,Wed Jul 17 22:51:48 +0000 2019,I've been on 10 #flights in the last 30 days. Today is the 11th. All with @united and all #delayed. This flight is… https://t.co/JUkvd4JEzF,"Chicago, IL",
38,CJHanselman,Wed Jul 17 22:49:32 +0000 2019,"throughout the terminal. ""We have a passenger here at Gate 14 WHO DOES NOT KNOW WHO HE IS. If anyone can help him w… https://t.co/5z8GiWHiZO","Florida, USA",
