,user,date,text,location,coordinates
0,TIME,Wed Aug 14 12:30:06 +0000 2019,United Airlines tells pilots no alcohol for 12 hours before flights https://t.co/DMYBK4zZcU,,
1,BroncosOffField,Thu Aug 15 22:17:02 +0000 2019,"We've got a Peyton Manning framed and signed @Broncos jersey up for auction.

Need we say more?… https://t.co/hCMU9QgXZF","Denver, CO",
2,smitaprakash,Sat Aug 10 08:10:19 +0000 2019,"Yeah sure! 😀 I am sure that is a valid boarding pass of United Airlines. Banega Khalistan, tumhare mulk me se. Jais… https://t.co/0NIdkmaOKb","New Delhi, India",
3,spicyphotons,Thu Aug 15 23:59:11 +0000 2019,"@HawaiianAir I really really really don't think ""don't suddenly screw all your elite members"" is an unrealistic exp… https://t.co/bcYM2EYZm0","Honolulu, HI",
4,FrenchHj,Thu Aug 15 23:56:32 +0000 2019,United Airlines tightens rules on crew drinking https://t.co/5DV5sCeH6b,SKELWICK,
5,abisslabestia,Thu Aug 15 23:55:33 +0000 2019,"RT @BroncosOffField: We've got a Peyton Manning framed and signed @Broncos jersey up for auction.

Need we say more?…",México,
6,dtpilot19,Thu Aug 15 23:49:12 +0000 2019,"After two half marathons in United hubs, IAD and ORD, my United Airlines “Run The World” metal arrived! I love it,… https://t.co/tMLcjGd17H","Boston, MA",
7,GuzmanLeads,Thu Aug 15 23:48:23 +0000 2019,Who gets the 👎 award??? @united airlines!!!! #UnitedAirlines #UnitedJourney 🤦🏻‍♂️🤯 https://t.co/ZcKeN8qRZS,"New Jersey, USA",
8,BigKenfo,Thu Aug 15 23:47:24 +0000 2019,@united @pconnaughton @united @pconnaughton United Airlines probably truthfully doesn’t really care... just look at… https://t.co/macexUtZK0,"Milwaukee, WI",
9,baboruger,Thu Aug 15 23:44:19 +0000 2019,ConnectionSaver now at Washington Dulles! https://t.co/zEpU0O64Bv #BeingUnited https://t.co/wBvoaW5bIi,Illinois,
10,lolobaybee_,Thu Aug 15 23:36:10 +0000 2019,@SamMcGinnity153 @united I’m so livid... I will not venture out to other airlines ever again,"Florida, USA",
11,cujo1000,Thu Aug 15 23:32:22 +0000 2019,RT @TXTrumpette89: [5/19/14] An influential figure in Malaysia’s ruling party has claimed crucial information about missing Malaysia Airlin…,,
12,ZAQSBusiness,Thu Aug 15 23:31:11 +0000 2019,Two United Airlines pilots arrested before flight from Scotland to U.S. https://t.co/DTxInFa0Wz,"Boston, MA",
13,TXTrumpette89,Thu Aug 15 23:28:54 +0000 2019,[5/19/14] An influential figure in Malaysia’s ruling party has claimed crucial information about missing Malaysia A… https://t.co/x0P8dxTQIY,"Texas, USA",
14,DamianSZN_,Thu Aug 15 23:22:32 +0000 2019,@ashlenite United airlines?,"Keyes, CA",
15,celebritykimdot,Thu Aug 15 23:20:19 +0000 2019,"🙈 United Airlines tightens rules on crew drinking #TheWeek #TheWeekUK #News #WeekUK #UK
https://t.co/FUt4fjw8C7",United States,
16,HelloNewsSite,Thu Aug 15 23:20:18 +0000 2019,"🙈 United Airlines tightens rules on crew drinking #TheWeek #TheWeekUK #News #WeekUK #UK
https://t.co/5aMpXjIH8J",,
