,user,date,text,location,coordinates
0,smitaprakash,Sat Aug 10 08:10:19 +0000 2019,"Yeah sure! 😀 I am sure that is a valid boarding pass of United Airlines. Banega Khalistan, tumhare mulk me se. Jais… https://t.co/0NIdkmaOKb","New Delhi, India",
1,MailOnline,Sun Aug 11 08:11:44 +0000 2019,Malaysian man charged after 'hiding a camera in a first-class bathroom' on a United Airlines flight which was disco… https://t.co/5zPu0SBysb,,
2,tathagata2,Sun Aug 11 08:52:34 +0000 2019,"Rono Dutta,Shillong boy and graduate of St Edmund’s school,Shillong,went up to become the President of United Airli… https://t.co/m2r9pjgXBK","Shillong, India",
3,eugenplaton,Tue Aug 13 23:55:03 +0000 2019,United Airlines Tells Pilots No Alcohol for 12 Hours Before Flights https://t.co/UBMP6QAqSR https://t.co/Fuo5xDSI6T,RO,
4,Lawgirl318,Tue Aug 13 23:55:02 +0000 2019,RT @WBBMNewsradio: United Airlines imposes greater alcohol restrictions on pilots during their off-hours ... https://t.co/V3YFtdyFfb https:…,,
5,jaevbum,Tue Aug 13 23:54:39 +0000 2019,ummm... I lit have a layover in Hong Kong for my flight in 12 hrs.. and I cannot get through united airlines customer service bro..,,
6,GunRights4,Tue Aug 13 23:54:26 +0000 2019,RT @RudyRivasAZ: NEW: Man deploys emergency slide on @united plane at @PHXSkyHarbor overnight https://t.co/HenANvUgiD #azfamily https://t.c…,,
7,TheReal_KDubb,Tue Aug 13 23:52:35 +0000 2019,United Airlines Tells Pilots No Alcohol for 12 Hours Before Flights https://t.co/YwAj8gxeB6 #business #feedly,"LA,Houston, NYC, ATL,Tampa",
8,mikeedw56668977,Tue Aug 13 23:51:38 +0000 2019,"RT @EJDuboisL7444: - EQUINOX
- Home Depot
- JC Penney
- Jimmy John's Subs
- KFC 
- IHOP
- Orange Julius
- Olive Garden
- Miami Dolphins - o…","Florida, USA",
9,781Moksha2011,Tue Aug 13 23:49:56 +0000 2019,RT @USATODAY: United now requires pilots to refrain from drinking alcohol at least 12 hours before they report to work. https://t.co/Ypx9rO…,,
