,user,date,text,location,coordinates
0,CNN,Wed Jul 10 20:50:05 +0000 2019,"American Airlines' canceled flight rate is twice the rate of Southwest, and is more than six times that of United A… https://t.co/aomo5lg2Xd",,
1,CNNBusiness,Thu Jul 11 01:01:10 +0000 2019,"American's canceled flight rate is twice the rate of Southwest, and is more than six times that of United Airlines,… https://t.co/JvqfOuN9Rz",Global,
2,mattsinger,Tue Jul 09 15:01:01 +0000 2019,Nobody knows classic cinema like United Airlines. https://t.co/rfg1iG7EZo,"Brooklyn, NY",
3,CynicalGirl_,Thu Jul 11 23:58:25 +0000 2019,RT @iamJadePA: @csCindySees I just took a United Airlines flight from Laredo to Houston. 10+ illegals boarded the plane. I spoke to one of…,United States,
4,CRDzaman,Thu Jul 11 23:57:12 +0000 2019,The gym I go to provides wipes to clean and disinfect equipment. Not sure why airlines can’t do the same. The tray… https://t.co/F82TF2XkK8,"Denver, Colorado",
5,benfromparamore,Thu Jul 11 23:55:52 +0000 2019,"RT @CNN: American Airlines' canceled flight rate is twice the rate of Southwest, and is more than six times that of United Airlines, accord…",Far Far Away,
6,RichardADonald,Thu Jul 11 23:41:09 +0000 2019,RT @iamJadePA: @csCindySees I just took a United Airlines flight from Laredo to Houston. 10+ illegals boarded the plane. I spoke to one of…,"North Carolina, USA",
7,LoriRRR,Thu Jul 11 23:34:15 +0000 2019,RT @iamJadePA: @csCindySees I just took a United Airlines flight from Laredo to Houston. 10+ illegals boarded the plane. I spoke to one of…,"Dana Point, CA, USA",
8,SmartyP81495800,Thu Jul 11 23:30:05 +0000 2019,"RT @CNN: American Airlines' canceled flight rate is twice the rate of Southwest, and is more than six times that of United Airlines, accord…",,
9,IVerberk,Thu Jul 11 23:18:14 +0000 2019,RT @LLazare_ChiBiz: United Airlines flight attendant leader not eager to fly Boeing 737 MAX https://t.co/RrXVuG0L6W via @ChiBizJournal,amsterdam,
10,Merphy1973,Thu Jul 11 23:15:17 +0000 2019,RT @iamJadePA: @csCindySees I just took a United Airlines flight from Laredo to Houston. 10+ illegals boarded the plane. I spoke to one of…,Washington State,
11,jeangleur,Thu Jul 11 23:11:34 +0000 2019,Nice. United Airlines apparently includes the external costs for flights from Berlin to Porto: 14.047 €. https://t.co/2z71v1bEtU,Berlin,
12,FRANCIS39781980,Thu Jul 11 23:07:07 +0000 2019,"##  SHARE  THE  UNITED  AIRLINES  IN  THE  U.S.A  WITH  THE  MIAMI  AND  BEACHES  IN  FLORIDA  U.S.A  .  ##

##  SU… https://t.co/0vd6ly3fmi",,
13,no1foxxman,Thu Jul 11 23:07:04 +0000 2019,RT @iamJadePA: @csCindySees I just took a United Airlines flight from Laredo to Houston. 10+ illegals boarded the plane. I spoke to one of…,Ohio,
14,mtaft48,Thu Jul 11 23:05:48 +0000 2019,RT @iamJadePA: @csCindySees I just took a United Airlines flight from Laredo to Houston. 10+ illegals boarded the plane. I spoke to one of…,,
15,balthazar2k4,Thu Jul 11 23:04:19 +0000 2019,I fly every week and every week my @united flight has a maintenance issue. Think it might be time to change airlines.,"Longmont, Colorado",
16,ShelleyBean01,Thu Jul 11 23:04:19 +0000 2019,RT @iamJadePA: @csCindySees I just took a United Airlines flight from Laredo to Houston. 10+ illegals boarded the plane. I spoke to one of…,PA,
17,backatchaslick,Thu Jul 11 23:02:47 +0000 2019,RT @iamJadePA: @csCindySees I just took a United Airlines flight from Laredo to Houston. 10+ illegals boarded the plane. I spoke to one of…,South of the Red River,
18,HarryS561981,Thu Jul 11 23:00:03 +0000 2019,"RT @usatodaytravel: While Tropical Storm Barry might ruin some travelers' plans this weekend, airlines are trying to to minimize the effect…",福島県須賀川市  　Fukusima ( Japan ),
19,sappholuminous,Thu Jul 11 22:59:55 +0000 2019,"RT @CNN: American Airlines' canceled flight rate is twice the rate of Southwest, and is more than six times that of United Airlines, accord…","New York, USA",
20,103blinddog,Thu Jul 11 22:58:32 +0000 2019,RT @iamJadePA: @csCindySees I just took a United Airlines flight from Laredo to Houston. 10+ illegals boarded the plane. I spoke to one of…,"Ontario, Canada",
21,DawnFle01458422,Thu Jul 11 22:56:49 +0000 2019,RT @iamJadePA: @csCindySees I just took a United Airlines flight from Laredo to Houston. 10+ illegals boarded the plane. I spoke to one of…,,
22,RandyNo99540131,Thu Jul 11 22:56:29 +0000 2019,RT @iamJadePA: @csCindySees I just took a United Airlines flight from Laredo to Houston. 10+ illegals boarded the plane. I spoke to one of…,"Blue Hill, Nebr",
23,ArizonaPatriot4,Thu Jul 11 22:56:14 +0000 2019,RT @iamJadePA: @csCindySees I just took a United Airlines flight from Laredo to Houston. 10+ illegals boarded the plane. I spoke to one of…,"Arizona, USA",
24,Navgirl2,Thu Jul 11 22:56:01 +0000 2019,RT @iamJadePA: @csCindySees I just took a United Airlines flight from Laredo to Houston. 10+ illegals boarded the plane. I spoke to one of…,"Aiea, Hawaii",
25,raslady1,Thu Jul 11 22:55:44 +0000 2019,RT @iamJadePA: @csCindySees I just took a United Airlines flight from Laredo to Houston. 10+ illegals boarded the plane. I spoke to one of…,,
26,cs00582scs,Thu Jul 11 22:55:17 +0000 2019,RT @iamJadePA: @csCindySees I just took a United Airlines flight from Laredo to Houston. 10+ illegals boarded the plane. I spoke to one of…,Smartsville,
27,usatodaytravel,Thu Jul 11 22:54:59 +0000 2019,"While Tropical Storm Barry might ruin some travelers' plans this weekend, airlines are trying to to minimize the ef… https://t.co/vaAhbtZYwZ","USA TODAY HQ, McLean, Va.",
28,iamJadePA,Thu Jul 11 22:54:06 +0000 2019,@csCindySees I just took a United Airlines flight from Laredo to Houston. 10+ illegals boarded the plane. I spoke t… https://t.co/LdYQhl5IvL,"Indianapolis, IN",
29,Shayna_southard,Thu Jul 11 22:53:26 +0000 2019,RT @corona_szn: I can’t wait to never fly @united ever again. Canceled our flight FOR NO REASON (other people are still flying to Nashville…,,
30,unknown_exit,Thu Jul 11 22:30:25 +0000 2019,Have a cross country trip coming up? Keep these airlines in mind when you book if you want to catch a nap on the pl… https://t.co/PvN0mmmvJN,The Moon,
31,corona_szn,Thu Jul 11 22:23:05 +0000 2019,I can’t wait to never fly @united ever again. Canceled our flight FOR NO REASON (other people are still flying to N… https://t.co/3pHepoxy2X,the depths of Hell,
32,Brently80788316,Thu Jul 11 22:21:03 +0000 2019,"@united 
I have been a loyal customer of @united airlines until now. I bought an international flight from United.… https://t.co/nI1OShvrvx",,
33,Oluwape_O,Thu Jul 11 22:17:29 +0000 2019,RT @winsh: United airlines looking for a database engineer and I don't know nobody I can recommend. FML,,
34,_dhexter,Thu Jul 11 22:13:22 +0000 2019,RT @winsh: United airlines looking for a database engineer and I don't know nobody I can recommend. FML,Ikeja,
35,mara____x,Thu Jul 11 22:12:28 +0000 2019,RT @winsh: United airlines looking for a database engineer and I don't know nobody I can recommend. FML,"Austin, TX",
36,winsh,Thu Jul 11 22:11:09 +0000 2019,United airlines looking for a database engineer and I don't know nobody I can recommend. FML,Houston,
37,losersan,Thu Jul 11 21:51:22 +0000 2019,Bro fucking united airlines lose our fucking buggage which contained all my clothes and shoes so life is gr8,"Tokyo-to, Japan",
38,Xaptwo1,Thu Jul 11 21:46:26 +0000 2019,United airlines is completely hand-drawn rather than lecture everyone about stupid garbage like this.,,
39,billcru04684632,Thu Jul 11 21:46:11 +0000 2019,"A year after Trump reversed Obama's opening to Cuba, the U.S. is sitting out Havana's political revamp. DOT awards… https://t.co/AEJAA3hUKu",,
40,InRodWeTrustMTL,Thu Jul 11 21:43:44 +0000 2019,"Airlines get shit all the time, often it's deserved, but on occasion they do things right. Including this example-… https://t.co/rTtBDU3IAB",Montreal,
41,prettystraathof,Thu Jul 11 21:41:43 +0000 2019,"The Impossible Landing - United Airlines Flight 232 - YouTube
Truly scary because it happened/happens.  https://t.co/s4aHCcrSfO","McNab-Braeside Township, Renfrew County, Ontario, Canada",
42,dorhsu,Thu Jul 11 21:40:37 +0000 2019,RT @TravelLeisure: Dress codes travelers need to know before flying on major U.S. airlines https://t.co/mCXAZZY1yO https://t.co/uVIfuDjCAR,,
43,ggmcarpenter,Thu Jul 11 21:38:16 +0000 2019,"@xxreibell From my experience United and American are okay airlines. Spirit really sucks. 

If you have the operati… https://t.co/kZpcoLM3RX",Texas,
44,Atters_J,Thu Jul 11 21:33:58 +0000 2019,The United Airlines ‘what is your first car’ security reminder provides some highly random options - none of which… https://t.co/MY2sA9xhW3,Le Ham,
45,FRANCIS39781980,Thu Jul 11 21:33:02 +0000 2019,##  SHARE  THE  TRAVEL  VICTORIA  IN  MELBOURNE  AUSTRALIA  WITH  THE  UNITED  AIRLINES  IN  NEW  YORK   UNITED  ST… https://t.co/BipzeAofz5,,
46,suzdeck,Thu Jul 11 21:27:59 +0000 2019,"RT @CNN: American Airlines' canceled flight rate is twice the rate of Southwest, and is more than six times that of United Airlines, accord…","Arizona, USA",
