,user,date,text,location,coordinates
0,TravelLeisure,Sun Jul 28 17:31:10 +0000 2019,United is expanding its flight connection app to even more airports https://t.co/EP05WnHFDM https://t.co/ikTToJMeED,"New York, NY",
1,iran_policy,Wed Jul 24 06:47:57 +0000 2019,"The United States on Tuesday warned companies against dealing with Iranian airlines, alleging that many of them sup… https://t.co/FJhFTjJVno","Tehran, Iran, Paris, France",
2,peta,Wed Jul 24 20:00:10 +0000 2019,"VICTORY! 🎉

@united Airlines has stopped selling #SeaWorld tickets &amp; removed all mentions of the park from its… https://t.co/jzyDZOA4y6","Los Angeles, CA / Norfolk, VA",
3,BaybeeReade,Sun Jul 28 23:58:17 +0000 2019,"RT @SteveMcIvorCEO: Really great to see United Airlines end its promotion of SeaWorld, which cruelly uses marine animals for entertainment.…",United States,
4,LandaMarie3,Sun Jul 28 23:53:34 +0000 2019,"Honored and awed to be representing United Airlines among these amazing women on this historic all-woman crewed, op… https://t.co/70y3XxHSYc",,
5,noaveragebxtch,Sun Jul 28 23:52:50 +0000 2019,United Airlines x Spider-Man is the most American thing I’ve seen in my life. I was honestly shocked when they star… https://t.co/IKESBf3YAO,frank's ocean,
6,tgiferg,Sun Jul 28 23:45:14 +0000 2019,Why does United Airlines keep mailing me ads for their credit card when they know they aren’t going to approve my application?,"Washington, DC",
7,Jay_Gibson_62,Sun Jul 28 23:44:30 +0000 2019,About had it with United and American Airlines and their inconsideration of Medically fragile passengers who NEED t… https://t.co/CSlEr2q8qf,"Illinois, USA",
8,Mvnaaa___,Sun Jul 28 23:42:44 +0000 2019,"RT @Ahmad_YSF: Y'all young business owners should learn from the big companies.

A tip: search for 'United breaks guitars' song.

Find abou…",,
9,Ahmad_YSF,Sun Jul 28 23:37:40 +0000 2019,"Y'all young business owners should learn from the big companies.

A tip: search for 'United breaks guitars' song.… https://t.co/F9sb1SgtXi",Galantoyi,
10,HedgeBz,Sun Jul 28 23:32:06 +0000 2019,United Airlines Now Offers More Business Class Seats Between New York Area and London than Any U.S. Carrier https://t.co/YVZfHN7Dol,,
11,ItsmePMT,Sun Jul 28 23:21:45 +0000 2019,"RT @herbivore_club: ""VEGANS WILL NEVER CHANGE ANYTHING"" - ISSUE #836

United Airlines has stopped selling tickets to SeaWorld due to animal…","California, USA",
12,jeanenev,Sun Jul 28 23:12:37 +0000 2019,"RT @danhanley4: @Adbb037 In 2006, I warned Field not to see the FAA-appointed shrink in LA based on what happened to me at United Airlines.…",,
13,debhead06,Sun Jul 28 23:02:22 +0000 2019,"RT @herbivore_club: ""VEGANS WILL NEVER CHANGE ANYTHING"" - ISSUE #836

United Airlines has stopped selling tickets to SeaWorld due to animal…",United States,
14,BloodyCaptain,Sun Jul 28 23:02:11 +0000 2019,"RT @peta: VICTORY! 🎉

@united Airlines has stopped selling #SeaWorld tickets &amp; removed all mentions of the park from its #UnitedVacations w…",Paris ,
15,legatohost,Sun Jul 28 23:00:16 +0000 2019,"""United Airlines recently announced it will be offering customers a second daily nonstop flight between San Francis… https://t.co/3znDTIk0vL","Colorado Springs, CO",
16,Aphxtwinin,Sun Jul 28 22:58:29 +0000 2019,Hey @Boeing and @Airbus is this ribbed interior necessary? There’s about 2in of precious space and it makes a big d… https://t.co/91mo0Z1QcP,Denver/Miami,
17,OnPoint07,Sun Jul 28 22:58:04 +0000 2019,RT @usatodaytravel: Some airlines are now offering high-end brands as part of their amenity kits. https://t.co/FLtwivKHLB https://t.co/SRxB…,"Oceanside, Ca, USA",
18,mez21,Sun Jul 28 22:53:09 +0000 2019,"RT @herbivore_club: ""VEGANS WILL NEVER CHANGE ANYTHING"" - ISSUE #836

United Airlines has stopped selling tickets to SeaWorld due to animal…","Queensland, Australia",
19,boyke4skilz,Sun Jul 28 22:50:50 +0000 2019,"RT @JeffersOfCA: Yall remember when United Airlines found out they made a mistake in overbooking, and then forcibly ""voluntarily"" removed D…",Aarde ,
20,_Kdxv,Sun Jul 28 22:44:46 +0000 2019,Now that im back and off my honeymoon high let me go ahead and say that United Airlines is complete trash.,,
21,BorovLil6,Sun Jul 28 22:36:01 +0000 2019,#philippine airlines actual flight status  #united airlines flight schedule pdf,,
22,FUNnFUNCTION,Sun Jul 28 22:34:24 +0000 2019,Victory! United Airlines Grounds SeaWorld Ticket Sales https://t.co/PaIqO4Cvsy,,
23,FrecklesXX20,Sun Jul 28 22:34:22 +0000 2019,"RT @herbivore_club: ""VEGANS WILL NEVER CHANGE ANYTHING"" - ISSUE #836

United Airlines has stopped selling tickets to SeaWorld due to animal…","Rio Grand Valley, NM",
